Year,Local Government Area,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,(blank)
2019,Melbourne,3807,14656,1535,3650,2857,82,
2019,Melton,1528,5188,259,330,1013,12,
2019,Mildura,1122,2599,298,506,949,18,
2019,Mitchell,688,1478,155,216,491,6,
2019,Moira,304,1011,56,76,233,3,
2019,Monash,1138,5616,289,311,666,10,
2019,Moonee Valley,851,4419,222,398,584,12,
2019,Moorabool,297,988,51,54,241,2,
2019,Moreland,1632,7911,313,461,1062,28,
2019,Mornington Peninsula,1203,4721,362,689,1159,27,
2019,Mount Alexander,142,382,38,59,128,3,
2019,Moyne,136,213,20,29,59,1,
2019,Murrindindi,151,280,58,41,59,5,
2019,Nillumbik,255,1065,70,63,167,3,
2019,Northern Grampians,208,313,66,46,128,2,
2019,Port Phillip,1359,6406,416,654,788,27,
2019,Pyrenees,89,216,69,10,32,2,
2019,Queenscliffe,20,80,,7,11,0,
2019,South Gippsland,221,465,42,46,217,4,
2019,Southern Grampians,221,382,125,110,261,9,
2019,Stonnington,972,5742,350,583,515,8,
2019,Strathbogie,129,239,14,13,50,3,
2019,Surf Coast,179,532,30,60,93,5,
2019,Swan Hill,379,846,75,158,399,11,
2019,Towong,37,97,5,12,14,8,
2019,Wangaratta,358,708,155,166,246,5,
2019,Warrnambool,615,1417,205,232,533,6,
2019,Wellington,673,1380,104,252,501,11,
2019,West Wimmera,33,57,16,7,12,0,
2019,Whitehorse,926,4453,178,240,559,6,
2019,Whittlesea,2175,7522,406,389,1403,17,
2019,Wodonga,451,1249,145,190,381,5,
2019,Wyndham,2019,6929,401,515,1578,21,
2019,Yarra,1226,8109,367,739,727,15,
2019,Yarra Ranges,974,3431,246,275,825,16,
2019,Yarriambiack,101,152,5,19,41,2,
2020,Alpine,92,220,24,47,52,4,
2020,Ararat,206,386,52,62,186,3,
2020,Ballarat,1131,5837,202,319,1212,10,
2020,Banyule,939,4220,311,281,1501,11,
2020,Bass Coast,383,944,83,76,288,11,
2020,Baw Baw,575,2092,237,193,476,15,
2020,Bayside,399,3191,106,124,371,4,
2020,Benalla,200,446,44,63,176,7,
2020,Boroondara,612,5272,130,155,345,7,
2020,Brimbank,2598,9500,569,634,2159,20,
2020,Buloke,45,148,35,10,17,0,
2020,Campaspe,451,1501,69,102,669,6,
2020,Cardinia,919,3319,245,254,702,11,
2020,Casey,3189,10615,846,589,1896,10,
2020,Central Goldfields,207,370,37,39,206,7,
2020,Colac-Otway,230,696,70,87,194,3,
2020,Corangamite,131,284,23,31,76,4,
2020,Darebin,1419,8752,330,380,1003,11,
2020,East Gippsland,866,1749,148,237,631,7,
2020,Frankston,1713,6171,457,706,2043,6,
2020,Gannawarra,123,268,29,40,146,3,
2020,Glen Eira,744,4471,197,252,433,7,
2020,Glenelg,235,509,105,91,221,4,
2020,Golden Plains,87,319,6,21,37,2,
2020,Greater Bendigo,1377,4718,219,441,1549,19,
2020,Greater Dandenong,2422,8627,750,916,1992,18,
2020,Greater Geelong,2826,10568,619,925,2036,26,
2020,Greater Shepparton,1074,3419,230,341,1311,7,
2020,Hepburn,137,483,15,17,80,5,
2020,Hindmarsh,73,122,16,7,29,0,
2020,Hobsons Bay,738,3176,239,209,528,16,
2020,Horsham,325,522,99,97,310,2,
2020,Hume,2887,9203,676,608,2496,24,
2020,Indigo,80,271,13,18,43,5,
2020,Kingston,1228,5904,296,388,1201,17,
2020,Knox,1251,5872,496,348,899,7,
2020,Latrobe,1954,5248,349,614,1895,15,
2020,Loddon,78,193,11,11,71,3,
2020,Macedon Ranges,297,976,77,79,289,6,
2020,Manningham,507,2700,113,114,304,3,
2020,Mansfield,93,134,14,33,60,4,
2020,Maribyrnong,964,5176,260,317,582,5,
2020,Maroondah,966,3359,217,328,1038,11,
2020,Melbourne,3987,15817,1431,2823,2783,60,
2020,Melton,1794,5818,289,335,1074,11,
2020,Mildura,1112,2661,280,459,1025,7,
2020,Mitchell,723,1531,151,169,535,11,
2020,Moira,320,1048,82,94,286,5,
2020,Monash,1267,7002,316,308,677,7,
2020,Moonee Valley,878,4606,312,260,656,7,
2020,Moorabool,269,1020,64,69,214,5,
2020,Moreland,1575,7769,347,405,988,17,
2020,Mornington Peninsula,1166,5305,439,548,1141,21,
2020,Mount Alexander,127,521,37,47,159,3,
2020,Moyne,134,247,21,42,61,2,
2020,Murrindindi,136,325,39,31,65,3,
2020,Nillumbik,280,1057,75,50,225,4,
2020,Northern Grampians,182,342,51,47,113,0,
2020,Port Phillip,1290,6882,409,503,847,25,
2020,Pyrenees,75,191,7,23,50,4,
2020,Queenscliffe,9,83,1,2,3,3,
2020,South Gippsland,273,716,33,47,286,5,
2020,Southern Grampians,172,427,71,56,161,1,
2020,Stonnington,1061,7052,299,435,602,13,
2020,Strathbogie,83,291,15,16,59,11,
2020,Surf Coast,198,667,28,43,103,4,
2020,Swan Hill,360,779,99,141,387,4,
2020,Towong,33,82,4,19,16,1,
2020,Wangaratta,355,789,125,141,332,6,
2020,Warrnambool,501,1131,168,204,462,2,
2020,Wellington,838,1553,99,182,700,13,
2020,West Wimmera,39,70,12,6,16,0,
2020,Whitehorse,939,5445,180,190,588,11,
2020,Whittlesea,2254,7712,467,362,1428,25,
2020,Wodonga,478,1583,122,173,472,1,
2020,Wyndham,2259,8910,476,514,1704,9,
2020,Yarra,1474,8008,499,645,785,17,
2020,Yarra Ranges,1065,3774,269,277,792,10,
2020,Yarriambiack,100,141,11,23,41,2,
2021,Alpine,103,138,21,37,62,39,
2021,Ararat,218,393,85,86,230,75,
2021,Ballarat,1213,3884,180,289,1277,345,
2021,Banyule,945,3174,328,249,1141,449,
2021,Bass Coast,557,897,72,91,406,74,
2021,Baw Baw,663,1470,215,220,702,314,
2021,Bayside,498,2337,133,135,430,293,
2021,Benalla,212,423,49,73,208,30,
2021,Boroondara,647,4207,138,145,493,324,
2021,Brimbank,2164,7568,618,573,1941,1649,
2021,Buloke,52,91,34,6,36,25,
2021,Campaspe,369,1070,107,112,623,175,
2021,Cardinia,913,2576,223,214,866,771,
2021,Casey,3239,7672,975,599,2140,1512,
2021,Central Goldfields,201,295,52,61,176,36,
2021,Colac-Otway,267,428,65,104,210,153,
2021,Corangamite,134,275,22,30,105,116,
2021,Darebin,1472,6362,644,519,1421,1057,
2021,East Gippsland,909,1382,233,238,684,182,
2021,Frankston,1690,4217,538,629,1766,1367,
2021,Gannawarra,130,227,43,50,112,77,
2021,Glen Eira,720,3859,185,180,551,526,
2021,Glenelg,262,373,77,76,193,68,
2021,Golden Plains,94,257,14,9,62,13,
2021,Greater Bendigo,1417,3815,296,488,1680,304,
2021,Greater Dandenong,2280,6667,722,717,1828,2007,
2021,Greater Geelong,2829,7979,655,895,2366,787,
2021,Greater Shepparton,1107,2622,238,328,1392,250,
2021,Hepburn,96,280,9,23,54,45,
2021,Hindmarsh,74,133,10,12,45,13,
2021,Hobsons Bay,697,2395,199,156,486,528,
2021,Horsham,374,451,75,87,387,98,
