Year,Local Government Area,Investigation Status,Offence Count
2020,Yarra Ranges,Unsolved,3076
2020,Yarriambiack,Arrest/Summons,322
2020,Yarriambiack,Not authorised,41
2020,Yarriambiack,Other,36
2020,Yarriambiack,Unsolved,114
2019,Alpine,Arrest/Summons,390
2019,Alpine,Not authorised,29
2019,Alpine,Other,35
2019,Alpine,Unsolved,119
2019,Ararat,Arrest/Summons,936
2019,Ararat,Not authorised,86
2019,Ararat,Other,151
2019,Ararat,Unsolved,218
2019,Ballarat,Arrest/Summons,5640
2019,Ballarat,Not authorised,459
2019,Ballarat,Other,575
2019,Ballarat,Unsolved,4193
2019,Banyule,Arrest/Summons,5172
2019,Banyule,Not authorised,463
2019,Banyule,Other,388
2019,Banyule,Unsolved,3185
2019,Bass Coast,Arrest/Summons,1289
2019,Bass Coast,Not authorised,182
2019,Bass Coast,Other,211
2019,Bass Coast,Unsolved,703
2019,Baw Baw,Arrest/Summons,2632
2019,Baw Baw,Not authorised,267
2019,Baw Baw,Other,321
2019,Baw Baw,Unsolved,1278
2019,Bayside,Arrest/Summons,1632
2019,Bayside,Not authorised,374
2019,Bayside,Other,330
2019,Bayside,Unsolved,2258
2019,Benalla,Arrest/Summons,703
2019,Benalla,Not authorised,128
2019,Benalla,Other,90
2019,Benalla,Unsolved,280
2019,Boroondara,Arrest/Summons,2736
2019,Boroondara,Not authorised,331
2019,Boroondara,Other,403
2019,Boroondara,Unsolved,3763
2019,Brimbank,Arrest/Summons,10315
2019,Brimbank,Not authorised,876
2019,Brimbank,Other,855
2019,Brimbank,Unsolved,7150
2019,Buloke,Arrest/Summons,100
2019,Buloke,Not authorised,14
2019,Buloke,Other,51
2019,Buloke,Unsolved,100
2019,Campaspe,Arrest/Summons,2147
2019,Campaspe,Not authorised,211
2019,Campaspe,Other,225
2019,Campaspe,Unsolved,1438
2019,Cardinia,Arrest/Summons,3003
2019,Cardinia,Not authorised,515
2019,Cardinia,Other,497
2019,Cardinia,Unsolved,2262
2019,Casey,Arrest/Summons,9616
2019,Casey,Not authorised,2200
2019,Casey,Other,1476
2019,Casey,Unsolved,8181
2019,Central Goldfields,Arrest/Summons,752
2019,Central Goldfields,Not authorised,130
2019,Central Goldfields,Other,123
2019,Central Goldfields,Unsolved,255
2019,Colac-Otway,Arrest/Summons,863
2019,Colac-Otway,Not authorised,135
2019,Colac-Otway,Other,141
2019,Colac-Otway,Unsolved,508
2019,Corangamite,Arrest/Summons,412
2019,Corangamite,Not authorised,41
2019,Corangamite,Other,34
2019,Corangamite,Unsolved,185
2019,Darebin,Arrest/Summons,6846
2019,Darebin,Not authorised,736
2019,Darebin,Other,688
2019,Darebin,Unsolved,6578
2019,East Gippsland,Arrest/Summons,2796
2019,East Gippsland,Not authorised,552
2019,East Gippsland,Other,374
2019,East Gippsland,Unsolved,841
2019,Frankston,Arrest/Summons,8431
2019,Frankston,Not authorised,785
2019,Frankston,Other,1168
2019,Frankston,Unsolved,4403
2019,Gannawarra,Arrest/Summons,477
2019,Gannawarra,Not authorised,81
2019,Gannawarra,Other,55
2019,Gannawarra,Unsolved,173
2019,Glen Eira,Arrest/Summons,2301
2019,Glen Eira,Not authorised,454
2019,Glen Eira,Other,580
2019,Glen Eira,Unsolved,3000
2019,Glenelg,Arrest/Summons,702
2019,Glenelg,Not authorised,99
2019,Glenelg,Other,157
2019,Glenelg,Unsolved,285
2019,Golden Plains,Arrest/Summons,233
2019,Golden Plains,Not authorised,44
2019,Golden Plains,Other,57
2019,Golden Plains,Unsolved,333
2019,Greater Bendigo,Arrest/Summons,6554
2019,Greater Bendigo,Not authorised,595
2019,Greater Bendigo,Other,902
2019,Greater Bendigo,Unsolved,2967
2019,Greater Dandenong,Arrest/Summons,8637
2019,Greater Dandenong,Not authorised,1320
2019,Greater Dandenong,Other,1293
2019,Greater Dandenong,Unsolved,6728
2019,Greater Geelong,Arrest/Summons,10643
2019,Greater Geelong,Not authorised,1089
2019,Greater Geelong,Other,1261
2019,Greater Geelong,Unsolved,7638
2019,Greater Shepparton,Arrest/Summons,5388
2019,Greater Shepparton,Not authorised,529
2019,Greater Shepparton,Other,543
2019,Greater Shepparton,Unsolved,2477
2019,Hepburn,Arrest/Summons,256
2019,Hepburn,Not authorised,63
2019,Hepburn,Other,59
2019,Hepburn,Unsolved,376
2019,Hindmarsh,Arrest/Summons,202
2019,Hindmarsh,Not authorised,35
2019,Hindmarsh,Other,35
2019,Hindmarsh,Unsolved,72
2019,Hobsons Bay,Arrest/Summons,3351
2019,Hobsons Bay,Not authorised,370
2019,Hobsons Bay,Other,451
2019,Hobsons Bay,Unsolved,2144
2019,Horsham,Arrest/Summons,2109
2019,Horsham,Not authorised,170
2019,Horsham,Other,238
2019,Horsham,Unsolved,337
2019,Hume,Arrest/Summons,10873
2019,Hume,Not authorised,1588
2019,Hume,Other,1321
2019,Hume,Unsolved,7390
2019,Indigo,Arrest/Summons,256
2019,Indigo,Not authorised,23
2019,Indigo,Other,47
2019,Indigo,Unsolved,180
2019,Kingston,Arrest/Summons,5297
2019,Kingston,Not authorised,818
2019,Kingston,Other,887
2019,Kingston,Unsolved,4290
2019,Knox,Arrest/Summons,5447
2019,Knox,Not authorised,787
2019,Knox,Other,759
2019,Knox,Unsolved,4046
2019,Latrobe,Arrest/Summons,9624
2019,Latrobe,Not authorised,1068
2019,Latrobe,Other,788
2019,Latrobe,Unsolved,3135
2019,Loddon,Arrest/Summons,254
2019,Loddon,Not authorised,34
2019,Loddon,Other,27
2019,Loddon,Unsolved,177
2019,Macedon Ranges,Arrest/Summons,1254
2019,Macedon Ranges,Not authorised,156
2019,Macedon Ranges,Other,156
2019,Macedon Ranges,Unsolved,904
2019,Manningham,Arrest/Summons,1964
2019,Manningham,Not authorised,306
2019,Manningham,Other,232
2019,Manningham,Unsolved,2045
2019,Mansfield,Arrest/Summons,227
2019,Mansfield,Not authorised,37
2019,Mansfield,Other,29
2019,Mansfield,Unsolved,148
2019,Maribyrnong,Arrest/Summons,3572
2019,Maribyrnong,Not authorised,328
2019,Maribyrnong,Other,505
2019,Maribyrnong,Unsolved,3783
2019,Maroondah,Arrest/Summons,4706
2019,Maroondah,Not authorised,580
2019,Maroondah,Other,595
2019,Maroondah,Unsolved,2432
2019,Melbourne,Arrest/Summons,18071
2019,Melbourne,Not authorised,1403
2019,Melbourne,Other,4433
2019,Melbourne,Unsolved,11719
2019,Melton,Arrest/Summons,5472
2019,Melton,Not authorised,701
2019,Melton,Other,480
2019,Melton,Unsolved,4408
2019,Mildura,Arrest/Summons,4392
2019,Mildura,Not authorised,389
2019,Mildura,Other,758
2019,Mildura,Unsolved,1825
2019,Mitchell,Arrest/Summons,2651
2019,Mitchell,Not authorised,402
2019,Mitchell,Other,324
2019,Mitchell,Unsolved,1071
2019,Moira,Arrest/Summons,1248
2019,Moira,Not authorised,143
2019,Moira,Other,114
2019,Moira,Unsolved,683
2019,Monash,Arrest/Summons,4246
2019,Monash,Not authorised,709
2019,Monash,Other,674
2019,Monash,Unsolved,4738
2019,Moonee Valley,Arrest/Summons,3311
2019,Moonee Valley,Not authorised,558
2019,Moonee Valley,Other,592
2019,Moonee Valley,Unsolved,3629
2019,Moorabool,Arrest/Summons,1218
2019,Moorabool,Not authorised,128
2019,Moorabool,Other,130
2019,Moorabool,Unsolved,813
2019,Moreland,Arrest/Summons,6073
2019,Moreland,Not authorised,1029
2019,Moreland,Other,770
2019,Moreland,Unsolved,6726
2019,Mornington Peninsula,Arrest/Summons,5512
2019,Mornington Peninsula,Not authorised,586
2019,Mornington Peninsula,Other,1156
2019,Mornington Peninsula,Unsolved,3621
2019,Mount Alexander,Arrest/Summons,521
2019,Mount Alexander,Not authorised,73
2019,Mount Alexander,Other,86
2019,Mount Alexander,Unsolved,280
2019,Moyne,Arrest/Summons,310
2019,Moyne,Not authorised,57
2019,Moyne,Other,52
2019,Moyne,Unsolved,167
2019,Murrindindi,Arrest/Summons,352
2019,Murrindindi,Not authorised,85
2019,Murrindindi,Other,95
2019,Murrindindi,Unsolved,228
2019,Nillumbik,Arrest/Summons,848
2019,Nillumbik,Not authorised,211
2019,Nillumbik,Other,169
2019,Nillumbik,Unsolved,860
2019,Northern Grampians,Arrest/Summons,519
2019,Northern Grampians,Not authorised,110
2019,Northern Grampians,Other,117
2019,Northern Grampians,Unsolved,237
2019,Port Phillip,Arrest/Summons,5594
2019,Port Phillip,Not authorised,689
2019,Port Phillip,Other,971
2019,Port Phillip,Unsolved,5524
2019,Pyrenees,Arrest/Summons,336
2019,Pyrenees,Not authorised,38
2019,Pyrenees,Other,81
2019,Pyrenees,Unsolved,177
2019,Queenscliffe,Arrest/Summons,230
2019,Queenscliffe,Not authorised,10
2019,Queenscliffe,Other,10
2019,Queenscliffe,Unsolved,71
2019,South Gippsland,Arrest/Summons,909
2019,South Gippsland,Not authorised,101
2019,South Gippsland,Other,85
2019,South Gippsland,Unsolved,347
2019,Southern Grampians,Arrest/Summons,1036
2019,Southern Grampians,Not authorised,138
2019,Southern Grampians,Other,163
2019,Southern Grampians,Unsolved,231
2019,Stonnington,Arrest/Summons,4527
2019,Stonnington,Not authorised,493
2019,Stonnington,Other,998
2019,Stonnington,Unsolved,4483
2019,Strathbogie,Arrest/Summons,291
2019,Strathbogie,Not authorised,62
2019,Strathbogie,Other,50
2019,Strathbogie,Unsolved,200
2019,Surf Coast,Arrest/Summons,571
2019,Surf Coast,Not authorised,91
2019,Surf Coast,Other,86
2019,Surf Coast,Unsolved,452
2019,Swan Hill,Arrest/Summons,1732
2019,Swan Hill,Not authorised,164
2019,Swan Hill,Other,227
2019,Swan Hill,Unsolved,505
2019,Towong,Arrest/Summons,92
2019,Towong,Not authorised,9
2019,Towong,Other,16
2019,Towong,Unsolved,89
2019,Wangaratta,Arrest/Summons,1380
2019,Wangaratta,Not authorised,167
2019,Wangaratta,Other,249
2019,Wangaratta,Unsolved,481
2019,Warrnambool,Arrest/Summons,2650
2019,Warrnambool,Not authorised,294
2019,Warrnambool,Other,354
2019,Warrnambool,Unsolved,740
2019,Wellington,Arrest/Summons,2453
2019,Wellington,Not authorised,498
2019,Wellington,Other,293
2019,Wellington,Unsolved,895
2019,West Wimmera,Arrest/Summons,74
2019,West Wimmera,Not authorised,14
2019,West Wimmera,Other,19
2019,West Wimmera,Unsolved,53
2019,Whitehorse,Arrest/Summons,3863
2019,Whitehorse,Not authorised,442
2019,Whitehorse,Other,462
2019,Whitehorse,Unsolved,3691
2019,Whittlesea,Arrest/Summons,7806
2019,Whittlesea,Not authorised,1484
2019,Whittlesea,Other,912
2019,Whittlesea,Unsolved,5847
2019,Wodonga,Arrest/Summons,1842
2019,Wodonga,Not authorised,109
2019,Wodonga,Other,268
2019,Wodonga,Unsolved,952
2019,Wyndham,Arrest/Summons,7703
2019,Wyndham,Not authorised,891
2019,Wyndham,Other,968
2019,Wyndham,Unsolved,5397
2019,Yarra,Arrest/Summons,4860
2019,Yarra,Not authorised,568
2019,Yarra,Other,850
2019,Yarra,Unsolved,7173
2019,Yarra Ranges,Arrest/Summons,4440
2019,Yarra Ranges,Not authorised,622
2019,Yarra Ranges,Other,594
2019,Yarra Ranges,Unsolved,2601
2019,Yarriambiack,Arrest/Summons,225
2019,Yarriambiack,Not authorised,47
2019,Yarriambiack,Other,41
2019,Yarriambiack,Unsolved,109
