Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2020,March,Manningham,2 Community,27 Open Space,271 Parkland/Reserve,55
2020,March,Manningham,2 Community,27 Open Space,273 Vacant Block,1
2020,March,Manningham,2 Community,27 Open Space,275 Other Open Space,5
2020,March,Manningham,2 Community,28 Street/footpath,281 Street/Lane/Footpath,463
2020,March,Manningham,2 Community,29 Other community location,291 Cemetery,2
2020,March,Manningham,2 Community,29 Other community location,292 Civic Centre,3
2020,March,Manningham,2 Community,29 Other community location,294 Car Wash,1
2020,March,Manningham,3 Other,31 Admin/professional,311 Business Office,12
2020,March,Manningham,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2020,March,Manningham,3 Other,32 Financial,321 Bank,6
2020,March,Manningham,3 Other,32 Financial,323 ATM/Eftpos,4
2020,March,Manningham,3 Other,32 Financial,324 Other Financial,1
2020,March,Manningham,3 Other,33 Retail,331 Chemist/Pharmacy,28
2020,March,Manningham,3 Other,33 Retail,3310 24Hr Convenience,5
2020,March,Manningham,3 Other,33 Retail,3311 Restaurant/Fastfood,55
2020,March,Manningham,3 Other,33 Retail,3312 Other Retail,112
2020,March,Manningham,3 Other,33 Retail,332 Service Station,117
2020,March,Manningham,3 Other,33 Retail,333 Jeweller,3
2020,March,Manningham,3 Other,33 Retail,334 2nd Hand Dealer,1
2020,March,Manningham,3 Other,33 Retail,335 Supermarket,76
2020,March,Manningham,3 Other,33 Retail,336 Department Store,43
2020,March,Manningham,3 Other,33 Retail,337 Shopping Complex,288
2020,March,Manningham,3 Other,33 Retail,338 Car Sales Yard,12
2020,March,Manningham,3 Other,33 Retail,339 Milkbar,1
2020,March,Manningham,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2020,March,Manningham,3 Other,36 Manufacturing,361 Factory,1
2020,March,Manningham,3 Other,36 Manufacturing,362 Any Manufacturing,1
2020,March,Manningham,3 Other,37 Agricultural,371 Farmland/Agricultural,4
2020,March,Manningham,3 Other,37 Agricultural,373 Other Agricultural,1
2020,March,Manningham,3 Other,38 Recreational,381 Licensed Premises,41
2020,March,Manningham,3 Other,38 Recreational,383 Cinema,2
2020,March,Manningham,3 Other,38 Recreational,384 Sport Area/Facility,26
2020,March,Manningham,3 Other,38 Recreational,385 Gaming Venue,9
2020,March,Manningham,3 Other,38 Recreational,386 Other Rec./Sports,9
2020,March,Manningham,3 Other,39 Other location,392 Other Location (Not Elsewhere),24
2020,March,Manningham,3 Other,39 Other location,393 Construction Site,21
2020,March,Manningham,3 Other,39 Other location,394 Veterinary Clinic,1
2020,March,Mansfield,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,14
2020,March,Mansfield,1 Residential,11 Dwelling - private,112 House,96
2020,March,Mansfield,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2020,March,Mansfield,1 Residential,11 Dwelling - private,117 Farm House,3
2020,March,Mansfield,1 Residential,12 Dwelling  - non-private,122 Holiday Home,8
2020,March,Mansfield,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,2
2020,March,Mansfield,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,1
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,132 Backyard,9
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,133 Frontyard,11
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,134 Garage,3
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,135 Shed,5
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2020,March,Mansfield,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,6
2020,March,Mansfield,2 Community,21 Education,211 School,1
2020,March,Mansfield,2 Community,21 Education,212 School Grounds,4
2020,March,Mansfield,2 Community,22 Health,224 Other Health,1
2020,March,Mansfield,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2020,March,Mansfield,2 Community,25 Other Transport,255 Carpark (Single Level),2
2020,March,Mansfield,2 Community,26 Justice,261 Police Station,8
2020,March,Mansfield,2 Community,26 Justice,262 Court,9
2020,March,Mansfield,2 Community,27 Open Space,271 Parkland/Reserve,15
2020,March,Mansfield,2 Community,27 Open Space,272 Rural,4
2020,March,Mansfield,2 Community,27 Open Space,274 Beach Foreshore,2
2020,March,Mansfield,2 Community,27 Open Space,275 Other Open Space,5
2020,March,Mansfield,2 Community,28 Street/footpath,281 Street/Lane/Footpath,55
2020,March,Mansfield,3 Other,31 Admin/professional,311 Business Office,4
2020,March,Mansfield,3 Other,32 Financial,321 Bank,3
2020,March,Mansfield,3 Other,33 Retail,3311 Restaurant/Fastfood,3
2020,March,Mansfield,3 Other,33 Retail,3312 Other Retail,8
2020,March,Mansfield,3 Other,33 Retail,332 Service Station,2
2020,March,Mansfield,3 Other,33 Retail,335 Supermarket,6
2020,March,Mansfield,3 Other,33 Retail,337 Shopping Complex,1
2020,March,Mansfield,3 Other,36 Manufacturing,361 Factory,2
2020,March,Mansfield,3 Other,37 Agricultural,371 Farmland/Agricultural,10
2020,March,Mansfield,3 Other,38 Recreational,381 Licensed Premises,4
2020,March,Mansfield,3 Other,38 Recreational,384 Sport Area/Facility,1
2020,March,Mansfield,3 Other,38 Recreational,386 Other Rec./Sports,2
2020,March,Mansfield,3 Other,39 Other location,392 Other Location (Not Elsewhere),3
2020,March,Maribyrnong,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,547
2020,March,Maribyrnong,1 Residential,11 Dwelling - private,112 House,1366
2020,March,Maribyrnong,1 Residential,11 Dwelling - private,113 Bungalow,11
2020,March,Maribyrnong,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,7
2020,March,Maribyrnong,1 Residential,11 Dwelling - private,115 Houseboat,1
2020,March,Maribyrnong,1 Residential,11 Dwelling - private,116 Ministry Of Housing,28
2020,March,Maribyrnong,1 Residential,12 Dwelling  - non-private,121 Boarding House,18
2020,March,Maribyrnong,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2020,March,Maribyrnong,1 Residential,12 Dwelling  - non-private,123 Guest House,5
2020,March,Maribyrnong,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2020,March,Maribyrnong,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,19
2020,March,Maribyrnong,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,16
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,2
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,132 Backyard,33
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,133 Frontyard,130
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,134 Garage,55
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,135 Shed,13
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,31
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),40
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,263
2020,March,Maribyrnong,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,177
2020,March,Maribyrnong,2 Community,21 Education,211 School,43
2020,March,Maribyrnong,2 Community,21 Education,212 School Grounds,25
2020,March,Maribyrnong,2 Community,21 Education,213 Other Educational,18
2020,March,Maribyrnong,2 Community,22 Health,221 Hospital,24
2020,March,Maribyrnong,2 Community,22 Health,222 Medical Centre,15
2020,March,Maribyrnong,2 Community,22 Health,223 Dental,1
2020,March,Maribyrnong,2 Community,22 Health,224 Other Health,20
2020,March,Maribyrnong,2 Community,23 Religious,231 Church,15
2020,March,Maribyrnong,2 Community,23 Religious,232 Other religious,1
2020,March,Maribyrnong,2 Community,24 Public Transport,241 Train,8
2020,March,Maribyrnong,2 Community,24 Public Transport,242 Train Station,165
2020,March,Maribyrnong,2 Community,24 Public Transport,243 Railway Carpark,34
2020,March,Maribyrnong,2 Community,24 Public Transport,244 Tram/Tram Stop,10
2020,March,Maribyrnong,2 Community,24 Public Transport,245 Bus/Bus Stop,43
2020,March,Maribyrnong,2 Community,24 Public Transport,249 Taxi,3
2020,March,Maribyrnong,2 Community,25 Other Transport,251 Private Car,21
2020,March,Maribyrnong,2 Community,25 Other Transport,255 Carpark (Single Level),204
2020,March,Maribyrnong,2 Community,25 Other Transport,256 Carpark (Multi Level),69
2020,March,Maribyrnong,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2020,March,Maribyrnong,2 Community,26 Justice,261 Police Station,27
2020,March,Maribyrnong,2 Community,26 Justice,262 Court,1
2020,March,Maribyrnong,2 Community,27 Open Space,271 Parkland/Reserve,64
2020,March,Maribyrnong,2 Community,27 Open Space,273 Vacant Block,1
2020,March,Maribyrnong,2 Community,27 Open Space,275 Other Open Space,24
2020,March,Maribyrnong,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1537
2020,March,Maribyrnong,2 Community,29 Other community location,292 Civic Centre,8
2020,March,Maribyrnong,2 Community,29 Other community location,294 Car Wash,7
2020,March,Maribyrnong,3 Other,31 Admin/professional,311 Business Office,68
2020,March,Maribyrnong,3 Other,31 Admin/professional,312 Other Admin/Professional,16
2020,March,Maribyrnong,3 Other,32 Financial,321 Bank,23
2020,March,Maribyrnong,3 Other,32 Financial,323 ATM/Eftpos,8
2020,March,Maribyrnong,3 Other,32 Financial,324 Other Financial,1
2020,March,Maribyrnong,3 Other,33 Retail,331 Chemist/Pharmacy,21
2020,March,Maribyrnong,3 Other,33 Retail,3310 24Hr Convenience,24
2020,March,Maribyrnong,3 Other,33 Retail,3311 Restaurant/Fastfood,108
2020,March,Maribyrnong,3 Other,33 Retail,3312 Other Retail,294
2020,March,Maribyrnong,3 Other,33 Retail,332 Service Station,127
2020,March,Maribyrnong,3 Other,33 Retail,333 Jeweller,3
2020,March,Maribyrnong,3 Other,33 Retail,334 2nd Hand Dealer,4
2020,March,Maribyrnong,3 Other,33 Retail,335 Supermarket,150
2020,March,Maribyrnong,3 Other,33 Retail,336 Department Store,78
2020,March,Maribyrnong,3 Other,33 Retail,337 Shopping Complex,521
2020,March,Maribyrnong,3 Other,33 Retail,338 Car Sales Yard,58
2020,March,Maribyrnong,3 Other,33 Retail,339 Milkbar,9
2020,March,Maribyrnong,3 Other,34 Wholesale,341 Any Wholesale,5
2020,March,Maribyrnong,3 Other,35 Warehousing/storage,351 Warehousing/Storage,62
2020,March,Maribyrnong,3 Other,36 Manufacturing,361 Factory,54
2020,March,Maribyrnong,3 Other,36 Manufacturing,362 Any Manufacturing,8
2020,March,Maribyrnong,3 Other,38 Recreational,381 Licensed Premises,72
2020,March,Maribyrnong,3 Other,38 Recreational,382 Tab,2
2020,March,Maribyrnong,3 Other,38 Recreational,383 Cinema,2
2020,March,Maribyrnong,3 Other,38 Recreational,384 Sport Area/Facility,47
2020,March,Maribyrnong,3 Other,38 Recreational,385 Gaming Venue,18
2020,March,Maribyrnong,3 Other,38 Recreational,386 Other Rec./Sports,31
2020,March,Maribyrnong,3 Other,39 Other location,391 Massage Parlour/Brothel,2
2020,March,Maribyrnong,3 Other,39 Other location,392 Other Location (Not Elsewhere),68
2020,March,Maribyrnong,3 Other,39 Other location,393 Construction Site,52
2020,March,Maroondah,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,351
2020,March,Maroondah,1 Residential,11 Dwelling - private,112 House,1238
2020,March,Maroondah,1 Residential,11 Dwelling - private,113 Bungalow,6
2020,March,Maroondah,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,3
2020,March,Maroondah,1 Residential,11 Dwelling - private,115 Houseboat,1
2020,March,Maroondah,1 Residential,11 Dwelling - private,116 Ministry Of Housing,10
2020,March,Maroondah,1 Residential,12 Dwelling  - non-private,121 Boarding House,15
2020,March,Maroondah,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2020,March,Maroondah,1 Residential,12 Dwelling  - non-private,124 Nursing Home,15
2020,March,Maroondah,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,18
2020,March,Maroondah,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,7
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,132 Backyard,27
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,133 Frontyard,126
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,134 Garage,61
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,135 Shed,15
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,15
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),19
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,318
2020,March,Maroondah,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,31
2020,March,Maroondah,2 Community,21 Education,211 School,51
2020,March,Maroondah,2 Community,21 Education,212 School Grounds,22
2020,March,Maroondah,2 Community,21 Education,213 Other Educational,14
2020,March,Maroondah,2 Community,22 Health,221 Hospital,59
2020,March,Maroondah,2 Community,22 Health,222 Medical Centre,13
2020,March,Maroondah,2 Community,22 Health,223 Dental,1
2020,March,Maroondah,2 Community,22 Health,224 Other Health,20
2020,March,Maroondah,2 Community,23 Religious,231 Church,25
2020,March,Maroondah,2 Community,23 Religious,232 Other religious,5
2020,March,Maroondah,2 Community,24 Public Transport,241 Train,8
2020,March,Maroondah,2 Community,24 Public Transport,242 Train Station,188
2020,March,Maroondah,2 Community,24 Public Transport,243 Railway Carpark,36
2020,March,Maroondah,2 Community,24 Public Transport,245 Bus/Bus Stop,12
2020,March,Maroondah,2 Community,24 Public Transport,249 Taxi,1
2020,March,Maroondah,2 Community,25 Other Transport,251 Private Car,9
2020,March,Maroondah,2 Community,25 Other Transport,255 Carpark (Single Level),122
2020,March,Maroondah,2 Community,25 Other Transport,256 Carpark (Multi Level),28
2020,March,Maroondah,2 Community,25 Other Transport,257 Other Transport Type/Area,10
2020,March,Maroondah,2 Community,26 Justice,261 Police Station,55
2020,March,Maroondah,2 Community,26 Justice,262 Court,484
2020,March,Maroondah,2 Community,26 Justice,264 Youth Training Centre,1
2020,March,Maroondah,2 Community,26 Justice,265 Other Justice Facility,7
2020,March,Maroondah,2 Community,27 Open Space,271 Parkland/Reserve,61
2020,March,Maroondah,2 Community,27 Open Space,275 Other Open Space,10
2020,March,Maroondah,2 Community,28 Street/footpath,281 Street/Lane/Footpath,649
2020,March,Maroondah,2 Community,29 Other community location,292 Civic Centre,9
2020,March,Maroondah,2 Community,29 Other community location,294 Car Wash,1
2020,March,Maroondah,3 Other,31 Admin/professional,311 Business Office,30
2020,March,Maroondah,3 Other,31 Admin/professional,312 Other Admin/Professional,11
2020,March,Maroondah,3 Other,32 Financial,321 Bank,10
2020,March,Maroondah,3 Other,32 Financial,323 ATM/Eftpos,2
2020,March,Maroondah,3 Other,32 Financial,324 Other Financial,2
2020,March,Maroondah,3 Other,33 Retail,331 Chemist/Pharmacy,10
2020,March,Maroondah,3 Other,33 Retail,3310 24Hr Convenience,21
2020,March,Maroondah,3 Other,33 Retail,3311 Restaurant/Fastfood,78
2020,March,Maroondah,3 Other,33 Retail,3312 Other Retail,234
2020,March,Maroondah,3 Other,33 Retail,332 Service Station,227
2020,March,Maroondah,3 Other,33 Retail,334 2nd Hand Dealer,21
2020,March,Maroondah,3 Other,33 Retail,335 Supermarket,119
2020,March,Maroondah,3 Other,33 Retail,336 Department Store,51
2020,March,Maroondah,3 Other,33 Retail,337 Shopping Complex,367
2020,March,Maroondah,3 Other,33 Retail,338 Car Sales Yard,34
2020,March,Maroondah,3 Other,33 Retail,339 Milkbar,7
2020,March,Maroondah,3 Other,34 Wholesale,341 Any Wholesale,6
2020,March,Maroondah,3 Other,35 Warehousing/storage,351 Warehousing/Storage,22
2020,March,Maroondah,3 Other,36 Manufacturing,361 Factory,58
2020,March,Maroondah,3 Other,36 Manufacturing,362 Any Manufacturing,14
2020,March,Maroondah,3 Other,37 Agricultural,371 Farmland/Agricultural,2
2020,March,Maroondah,3 Other,38 Recreational,381 Licensed Premises,69
2020,March,Maroondah,3 Other,38 Recreational,382 Tab,2
2020,March,Maroondah,3 Other,38 Recreational,383 Cinema,4
2020,March,Maroondah,3 Other,38 Recreational,384 Sport Area/Facility,29
2020,March,Maroondah,3 Other,38 Recreational,385 Gaming Venue,15
2020,March,Maroondah,3 Other,38 Recreational,386 Other Rec./Sports,27
2020,March,Maroondah,3 Other,39 Other location,391 Massage Parlour/Brothel,1
2020,March,Maroondah,3 Other,39 Other location,392 Other Location (Not Elsewhere),55
2020,March,Maroondah,3 Other,39 Other location,393 Construction Site,20
2020,March,Maroondah,3 Other,39 Other location,394 Veterinary Clinic,2
2020,March,Melbourne,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,2350
2020,March,Melbourne,1 Residential,11 Dwelling - private,112 House,643
2020,March,Melbourne,1 Residential,11 Dwelling - private,113 Bungalow,2
2020,March,Melbourne,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2020,March,Melbourne,1 Residential,11 Dwelling - private,116 Ministry Of Housing,74
2020,March,Melbourne,1 Residential,12 Dwelling  - non-private,121 Boarding House,66
2020,March,Melbourne,1 Residential,12 Dwelling  - non-private,122 Holiday Home,4
2020,March,Melbourne,1 Residential,12 Dwelling  - non-private,123 Guest House,17
2020,March,Melbourne,1 Residential,12 Dwelling  - non-private,124 Nursing Home,4
2020,March,Melbourne,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,372
2020,March,Melbourne,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,125
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,132 Backyard,29
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,133 Frontyard,106
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,134 Garage,81
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,135 Shed,10
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,34
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),254
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,88
2020,March,Melbourne,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,658
2020,March,Melbourne,2 Community,21 Education,211 School,118
2020,March,Melbourne,2 Community,21 Education,212 School Grounds,67
2020,March,Melbourne,2 Community,21 Education,213 Other Educational,314
2020,March,Melbourne,2 Community,22 Health,221 Hospital,234
2020,March,Melbourne,2 Community,22 Health,222 Medical Centre,24
2020,March,Melbourne,2 Community,22 Health,223 Dental,9
2020,March,Melbourne,2 Community,22 Health,224 Other Health,44
2020,March,Melbourne,2 Community,23 Religious,231 Church,41
2020,March,Melbourne,2 Community,23 Religious,232 Other religious,7
2020,March,Melbourne,2 Community,24 Public Transport,241 Train,39
2020,March,Melbourne,2 Community,24 Public Transport,242 Train Station,1225
2020,March,Melbourne,2 Community,24 Public Transport,243 Railway Carpark,10
2020,March,Melbourne,2 Community,24 Public Transport,244 Tram/Tram Stop,327
2020,March,Melbourne,2 Community,24 Public Transport,245 Bus/Bus Stop,30
2020,March,Melbourne,2 Community,24 Public Transport,246 Depot/Terminal,4
2020,March,Melbourne,2 Community,24 Public Transport,248 Office (Public transport office Only),6
2020,March,Melbourne,2 Community,24 Public Transport,249 Taxi,37
2020,March,Melbourne,2 Community,25 Other Transport,251 Private Car,44
2020,March,Melbourne,2 Community,25 Other Transport,252 Airfield,3
2020,March,Melbourne,2 Community,25 Other Transport,253 Boat,7
2020,March,Melbourne,2 Community,25 Other Transport,254 Dock/Wharf,12
2020,March,Melbourne,2 Community,25 Other Transport,255 Carpark (Single Level),305
2020,March,Melbourne,2 Community,25 Other Transport,256 Carpark (Multi Level),791
2020,March,Melbourne,2 Community,25 Other Transport,257 Other Transport Type/Area,56
2020,March,Melbourne,2 Community,26 Justice,261 Police Station,248
2020,March,Melbourne,2 Community,26 Justice,262 Court,1192
2020,March,Melbourne,2 Community,26 Justice,264 Youth Training Centre,5
2020,March,Melbourne,2 Community,26 Justice,265 Other Justice Facility,43
2020,March,Melbourne,2 Community,26 Justice,269 Other Justice (nec),67
2020,March,Melbourne,2 Community,27 Open Space,271 Parkland/Reserve,311
2020,March,Melbourne,2 Community,27 Open Space,273 Vacant Block,9
2020,March,Melbourne,2 Community,27 Open Space,275 Other Open Space,221
2020,March,Melbourne,2 Community,28 Street/footpath,281 Street/Lane/Footpath,6195
2020,March,Melbourne,2 Community,29 Other community location,291 Cemetery,3
2020,March,Melbourne,2 Community,29 Other community location,292 Civic Centre,49
2020,March,Melbourne,2 Community,29 Other community location,293 Gallery,26
2020,March,Melbourne,2 Community,29 Other community location,294 Car Wash,4
2020,March,Melbourne,3 Other,31 Admin/professional,311 Business Office,538
2020,March,Melbourne,3 Other,31 Admin/professional,312 Other Admin/Professional,124
2020,March,Melbourne,3 Other,32 Financial,321 Bank,143
2020,March,Melbourne,3 Other,32 Financial,322 Credit Society,2
2020,March,Melbourne,3 Other,32 Financial,323 ATM/Eftpos,18
2020,March,Melbourne,3 Other,32 Financial,324 Other Financial,26
2020,March,Melbourne,3 Other,33 Retail,331 Chemist/Pharmacy,86
2020,March,Melbourne,3 Other,33 Retail,3310 24Hr Convenience,567
2020,March,Melbourne,3 Other,33 Retail,3311 Restaurant/Fastfood,925
2020,March,Melbourne,3 Other,33 Retail,3312 Other Retail,1485
2020,March,Melbourne,3 Other,33 Retail,332 Service Station,252
2020,March,Melbourne,3 Other,33 Retail,333 Jeweller,18
2020,March,Melbourne,3 Other,33 Retail,334 2nd Hand Dealer,8
2020,March,Melbourne,3 Other,33 Retail,335 Supermarket,630
2020,March,Melbourne,3 Other,33 Retail,336 Department Store,415
2020,March,Melbourne,3 Other,33 Retail,337 Shopping Complex,846
2020,March,Melbourne,3 Other,33 Retail,338 Car Sales Yard,31
2020,March,Melbourne,3 Other,33 Retail,339 Milkbar,31
2020,March,Melbourne,3 Other,34 Wholesale,341 Any Wholesale,15
2020,March,Melbourne,3 Other,35 Warehousing/storage,351 Warehousing/Storage,97
2020,March,Melbourne,3 Other,36 Manufacturing,361 Factory,19
2020,March,Melbourne,3 Other,36 Manufacturing,362 Any Manufacturing,6
2020,March,Melbourne,3 Other,37 Agricultural,371 Farmland/Agricultural,1
2020,March,Melbourne,3 Other,37 Agricultural,373 Other Agricultural,2
2020,March,Melbourne,3 Other,38 Recreational,381 Licensed Premises,1042
2020,March,Melbourne,3 Other,38 Recreational,382 Tab,5
2020,March,Melbourne,3 Other,38 Recreational,383 Cinema,15
2020,March,Melbourne,3 Other,38 Recreational,384 Sport Area/Facility,301
2020,March,Melbourne,3 Other,38 Recreational,385 Gaming Venue,461
2020,March,Melbourne,3 Other,38 Recreational,386 Other Rec./Sports,151
2020,March,Melbourne,3 Other,39 Other location,391 Massage Parlour/Brothel,8
2020,March,Melbourne,3 Other,39 Other location,392 Other Location (Not Elsewhere),566
2020,March,Melbourne,3 Other,39 Other location,393 Construction Site,132
2020,March,Melbourne,3 Other,39 Other location,394 Veterinary Clinic,3
2020,March,Melton,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,120
2020,March,Melton,1 Residential,11 Dwelling - private,112 House,3283
2020,March,Melton,1 Residential,11 Dwelling - private,113 Bungalow,11
2020,March,Melton,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,7
2020,March,Melton,1 Residential,11 Dwelling - private,117 Farm House,21
2020,March,Melton,1 Residential,12 Dwelling  - non-private,121 Boarding House,3
2020,March,Melton,1 Residential,12 Dwelling  - non-private,122 Holiday Home,3
2020,March,Melton,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2020,March,Melton,1 Residential,12 Dwelling  - non-private,124 Nursing Home,7
2020,March,Melton,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2020,March,Melton,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,44
2020,March,Melton,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,2
2020,March,Melton,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2020,March,Melton,1 Residential,13 Grounds/surrounding land,132 Backyard,73
2020,March,Melton,1 Residential,13 Grounds/surrounding land,133 Frontyard,210
2020,March,Melton,1 Residential,13 Grounds/surrounding land,134 Garage,63
2020,March,Melton,1 Residential,13 Grounds/surrounding land,135 Shed,40
2020,March,Melton,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,187
2020,March,Melton,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),27
2020,March,Melton,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,390
2020,March,Melton,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,14
2020,March,Melton,2 Community,21 Education,211 School,67
2020,March,Melton,2 Community,21 Education,212 School Grounds,32
2020,March,Melton,2 Community,21 Education,213 Other Educational,18
2020,March,Melton,2 Community,22 Health,222 Medical Centre,20
2020,March,Melton,2 Community,22 Health,224 Other Health,13
2020,March,Melton,2 Community,23 Religious,231 Church,12
2020,March,Melton,2 Community,23 Religious,232 Other religious,3
2020,March,Melton,2 Community,24 Public Transport,241 Train,4
2020,March,Melton,2 Community,24 Public Transport,242 Train Station,44
2020,March,Melton,2 Community,24 Public Transport,243 Railway Carpark,73
2020,March,Melton,2 Community,24 Public Transport,245 Bus/Bus Stop,27
2020,March,Melton,2 Community,24 Public Transport,246 Depot/Terminal,2
2020,March,Melton,2 Community,24 Public Transport,249 Taxi,2
2020,March,Melton,2 Community,25 Other Transport,251 Private Car,20
2020,March,Melton,2 Community,25 Other Transport,255 Carpark (Single Level),201
2020,March,Melton,2 Community,25 Other Transport,256 Carpark (Multi Level),6
2020,March,Melton,2 Community,25 Other Transport,257 Other Transport Type/Area,10
2020,March,Melton,2 Community,26 Justice,261 Police Station,45
2020,March,Melton,2 Community,26 Justice,262 Court,1
2020,March,Melton,2 Community,26 Justice,264 Youth Training Centre,3
2020,March,Melton,2 Community,26 Justice,265 Other Justice Facility,3
2020,March,Melton,2 Community,27 Open Space,271 Parkland/Reserve,119
2020,March,Melton,2 Community,27 Open Space,272 Rural,18
2020,March,Melton,2 Community,27 Open Space,273 Vacant Block,17
2020,March,Melton,2 Community,27 Open Space,275 Other Open Space,22
2020,March,Melton,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1193
2020,March,Melton,2 Community,29 Other community location,292 Civic Centre,11
2020,March,Melton,2 Community,29 Other community location,294 Car Wash,13
2020,March,Melton,3 Other,31 Admin/professional,311 Business Office,51
2020,March,Melton,3 Other,31 Admin/professional,312 Other Admin/Professional,7
2020,March,Melton,3 Other,32 Financial,321 Bank,6
2020,March,Melton,3 Other,32 Financial,323 ATM/Eftpos,5
2020,March,Melton,3 Other,32 Financial,324 Other Financial,1
2020,March,Melton,3 Other,33 Retail,331 Chemist/Pharmacy,14
2020,March,Melton,3 Other,33 Retail,3310 24Hr Convenience,71
2020,March,Melton,3 Other,33 Retail,3311 Restaurant/Fastfood,99
2020,March,Melton,3 Other,33 Retail,3312 Other Retail,226
2020,March,Melton,3 Other,33 Retail,332 Service Station,744
2020,March,Melton,3 Other,33 Retail,334 2nd Hand Dealer,12
2020,March,Melton,3 Other,33 Retail,335 Supermarket,124
2020,March,Melton,3 Other,33 Retail,336 Department Store,78
2020,March,Melton,3 Other,33 Retail,337 Shopping Complex,403
2020,March,Melton,3 Other,33 Retail,338 Car Sales Yard,20
2020,March,Melton,3 Other,33 Retail,339 Milkbar,11
