Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2022,March,4 Western, West Wimmera,151,4063.539395813
2022,March,4 Western, Yarriambiack,304,4788.4927465
2022,March,4 Western,Total,57360,5468.618308944
2022,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,900,
2022,March,Justice Institutions and Immigration Facilities,Total,900,
2022,March,Unincorporated Vic, Unincorporated Vic,73,
2022,March,Unincorporated Vic,Total,73,
2021,March,1 North West Metro, Banyule,6286,4858.293337043
2021,March,1 North West Metro, Brimbank,14514,7196.548988497
2021,March,1 North West Metro, Darebin,11475,7061.495006185
2021,March,1 North West Metro, Hobsons Bay,4461,4631.581133133
2021,March,1 North West Metro, Hume,15479,6350.671622808
2021,March,1 North West Metro, Maribyrnong,7048,7540.62931302
2021,March,1 North West Metro, Melbourne,25957,15281.408218533
2021,March,1 North West Metro, Melton,9883,5517.930622477
2021,March,1 North West Metro, Moonee Valley,6108,4721.013456589
2021,March,1 North West Metro, Moreland,10148,5494.106882793
2021,March,1 North West Metro, Nillumbik,1522,2353.887316538
2021,March,1 North West Metro, Whittlesea,11453,4813.560176857
2021,March,1 North West Metro, Wyndham,12706,4387.870332319
2021,March,1 North West Metro, Yarra,10827,10868.081347494
2021,March,1 North West Metro,Total,147867,6479.918069246
2021,March,2 Eastern, Alpine,400,3060.677940164
2021,March,2 Eastern, Bass Coast,2096,5398.583386993
2021,March,2 Eastern, Baw Baw,3585,6335.825247866
2021,March,2 Eastern, Benalla,995,7041.256811266
2021,March,2 Eastern, Boroondara,5954,3370.850129082
2021,March,2 Eastern, East Gippsland,3629,7501.653712585
2021,March,2 Eastern, Greater Shepparton,5937,8889.587638128
2021,March,2 Eastern, Indigo,427,2514.87131162
2021,March,2 Eastern, Knox,8283,5088.806836683
2021,March,2 Eastern, Latrobe,9087,11932.086769263
2021,March,2 Eastern, Manningham,3371,2655.920078157
2021,March,2 Eastern, Mansfield,388,3983.572895277
2021,March,2 Eastern, Maroondah,5708,4858.533928024
2021,March,2 Eastern, Mitchell,3163,6426.771781534
2021,March,2 Eastern, Moira,1630,5433.152228259
2021,March,2 Eastern, Monash,9572,4834.831801192
2021,March,2 Eastern, Murrindindi,663,4453.550077249
2021,March,2 Eastern, South Gippsland,1264,4150.385815137
2021,March,2 Eastern, Strathbogie,453,4056.595325513
2021,March,2 Eastern, Towong,153,2519.347933476
2021,March,2 Eastern, Wangaratta,1658,5643.486844345
2021,March,2 Eastern, Wellington,3218,7136.520890624
2021,March,2 Eastern, Whitehorse,6947,3947.832016821
2021,March,2 Eastern, Wodonga,2417,5596.721159635
2021,March,2 Eastern, Yarra Ranges,6111,3847.48569234
2021,March,2 Eastern,Total,87109,5074.238753509
2021,March,3 Southern Metro, Bayside,3827,3624.739534003
2021,March,3 Southern Metro, Cardinia,5563,4687.592163472
2021,March,3 Southern Metro, Casey,16137,4374.818698643
2021,March,3 Southern Metro, Frankston,10207,7180.594736435
2021,March,3 Southern Metro, Glen Eira,6020,3880.791372008
2021,March,3 Southern Metro, Greater Dandenong,14221,8710.325481117
2021,March,3 Southern Metro, Kingston,8041,4882.803011902
2021,March,3 Southern Metro, Mornington Peninsula,7617,4510.703816658
2021,March,3 Southern Metro, Port Phillip,10175,9077.365021589
2021,March,3 Southern Metro, Stonnington,8943,7821.409830331
2021,March,3 Southern Metro,Total,90751,5624.031298396
2021,March,4 Western, Ararat,1087,9117.597718504
2021,March,4 Western, Ballarat,7188,6350.777060159
2021,March,4 Western, Buloke,244,4019.107231099
2021,March,4 Western, Campaspe,2456,6503.892802288
2021,March,4 Western, Central Goldfields,820,6233.845218185
2021,March,4 Western, Colac-Otway,1226,5693.851012447
2021,March,4 Western, Corangamite,682,4312.907101752
2021,March,4 Western, Gannawarra,639,6121.862425752
2021,March,4 Western, Glenelg,1048,5358.147144537
2021,March,4 Western, Golden Plains,450,1817.080557238
2021,March,4 Western, Greater Bendigo,8000,6590.763045592
2021,March,4 Western, Greater Geelong,15511,5755.302254479
2021,March,4 Western, Hepburn,507,3114.059332965
2021,March,4 Western, Hindmarsh,287,5158.159597412
2021,March,4 Western, Horsham,1472,7374.38004108
2021,March,4 Western, Loddon,412,5495.531545952
2021,March,4 Western, Macedon Ranges,1853,3581.160736718
2021,March,4 Western, Mildura,4405,7975.015841405
2021,March,4 Western, Moorabool,1990,5411.579147744
2021,March,4 Western, Mount Alexander,728,3604.674192909
2021,March,4 Western, Moyne,509,2955.693629871
2021,March,4 Western, Northern Grampians,894,7855.197258589
2021,March,4 Western, Pyrenees,344,4513.251115193
2021,March,4 Western, Queenscliffe,81,2652.259332024
2021,March,4 Western, Southern Grampians,791,4929.270268586
2021,March,4 Western, Surf Coast,1164,3208.556149733
2021,March,4 Western, Swan Hill,1857,9211.766456669
2021,March,4 Western, Warrnambool,2200,6178.560395428
2021,March,4 Western, West Wimmera,122,3253.333333333
2021,March,4 Western, Yarriambiack,333,5161.990389087
2021,March,4 Western,Total,59300,5724.441046463
2021,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1270,
2021,March,Justice Institutions and Immigration Facilities,Total,1270,
2021,March,Unincorporated Vic, Unincorporated Vic,30,
2021,March,Unincorporated Vic,Total,30,
2020,March,1 North West Metro, Banyule,7262,5505.894840593
2020,March,1 North West Metro, Brimbank,15480,7437.05169904
2020,March,1 North West Metro, Darebin,11895,7150.328211787
2020,March,1 North West Metro, Hobsons Bay,4906,4998.675442708
2020,March,1 North West Metro, Hume,15894,6593.981032036
2020,March,1 North West Metro, Maribyrnong,7305,7695.305916063
2020,March,1 North West Metro, Melbourne,26901,14649.726621212
2020,March,1 North West Metro, Melton,9320,5406.09519832
2020,March,1 North West Metro, Moonee Valley,6719,5101.668919227
2020,March,1 North West Metro, Moreland,11100,5883.600127213
2020,March,1 North West Metro, Nillumbik,1691,2593.558282209
2020,March,1 North West Metro, Whittlesea,12248,5180.807999628
2020,March,1 North West Metro, Wyndham,13871,4899.993641418
2020,March,1 North West Metro, Yarra,11428,11086.964957895
2020,March,1 North West Metro,Total,156020,6769.74157221
2020,March,2 Eastern, Alpine,438,3376.763549456
2020,March,2 Eastern, Bass Coast,1786,4770.426560538
2020,March,2 Eastern, Baw Baw,3587,6537.746509678
2020,March,2 Eastern, Benalla,935,6614.785992218
2020,March,2 Eastern, Boroondara,6521,3563.894323784
2020,March,2 Eastern, East Gippsland,3638,7623.478133317
2020,March,2 Eastern, Greater Shepparton,6382,9519.405745652
2020,March,2 Eastern, Indigo,430,2547.091576827
2020,March,2 Eastern, Knox,8873,5374.579022606
2020,March,2 Eastern, Latrobe,10075,13274.919296396
2020,March,2 Eastern, Manningham,3741,2902.429941346
2020,March,2 Eastern, Mansfield,337,3557.85472973
2020,March,2 Eastern, Maroondah,5920,4959.993297306
2020,March,2 Eastern, Mitchell,3120,6550.905998698
2020,March,2 Eastern, Moira,1835,6114.220978275
2020,March,2 Eastern, Monash,9577,4675.24225634
2020,March,2 Eastern, Murrindindi,598,4079.405143598
2020,March,2 Eastern, South Gippsland,1359,4493.601825216
2020,March,2 Eastern, Strathbogie,475,4322.111010009
2020,March,2 Eastern, Towong,155,2540.567120144
2020,March,2 Eastern, Wangaratta,1748,5988.147031619
2020,March,2 Eastern, Wellington,3385,7562.38689931
2020,March,2 Eastern, Whitehorse,7354,4070.539786565
2020,March,2 Eastern, Wodonga,2828,6631.492554813
2020,March,2 Eastern, Yarra Ranges,6187,3869.269110262
2020,March,2 Eastern,Total,91284,5263.221621622
2020,March,3 Southern Metro, Bayside,4195,3901.744856579
2020,March,3 Southern Metro, Cardinia,5449,4692.114939164
2020,March,3 Southern Metro, Casey,17145,4705.071982524
2020,March,3 Southern Metro, Frankston,11096,7744.222890683
2020,March,3 Southern Metro, Glen Eira,6105,3860.283656552
2020,March,3 Southern Metro, Greater Dandenong,14725,8750.973155758
2020,March,3 Southern Metro, Kingston,9034,5402.205372306
2020,March,3 Southern Metro, Mornington Peninsula,8620,5105.6671721
2020,March,3 Southern Metro, Port Phillip,9957,8552.874580173
2020,March,3 Southern Metro, Stonnington,9462,7980.298059325
2020,March,3 Southern Metro,Total,95788,5880.958900577
2020,March,4 Western, Ararat,894,7473.666610935
2020,March,4 Western, Ballarat,8711,7824.837188412
2020,March,4 Western, Buloke,254,4163.251925914
2020,March,4 Western, Campaspe,2798,7428.055644048
2020,March,4 Western, Central Goldfields,866,6614.726550565
2020,March,4 Western, Colac-Otway,1280,5910.329223808
2020,March,4 Western, Corangamite,548,3440.698185471
2020,March,4 Western, Gannawarra,608,5846.153846154
2020,March,4 Western, Glenelg,1165,5938.423896422
2020,March,4 Western, Golden Plains,472,1947.114392971
2020,March,4 Western, Greater Bendigo,8323,6939.418699661
2020,March,4 Western, Greater Geelong,17000,6420.351759743
2020,March,4 Western, Hepburn,738,4567.962366923
2020,March,4 Western, Hindmarsh,246,4399.141630901
2020,March,4 Western, Horsham,1356,6775.934439336
2020,March,4 Western, Loddon,366,4897.631473304
2020,March,4 Western, Macedon Ranges,1724,3383.244696509
2020,March,4 Western, Mildura,5545,9916.660705344
2020,March,4 Western, Moorabool,1641,4558.080106661
2020,March,4 Western, Mount Alexander,894,4470.223511176
2020,March,4 Western, Moyne,506,2972.449039535
2020,March,4 Western, Northern Grampians,735,6446.802912025
2020,March,4 Western, Pyrenees,350,4632.69358041
2020,March,4 Western, Queenscliffe,101,3357.712765957
2020,March,4 Western, Southern Grampians,887,5498.729155043
2020,March,4 Western, Surf Coast,1043,3000.489053825
2020,March,4 Western, Swan Hill,1770,8624.049892808
2020,March,4 Western, Warrnambool,2467,6944.991836045
2020,March,4 Western, West Wimmera,143,3754.266211604
2020,March,4 Western, Yarriambiack,318,4827.690906331
2020,March,4 Western,Total,63749,6218.565269134
2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1377,
2020,March,Justice Institutions and Immigration Facilities,Total,1377,
2020,March,Unincorporated Vic, Unincorporated Vic,109,
2020,March,Unincorporated Vic,Total,109,
2019,March,1 North West Metro, Banyule,7006,5322.090549985
2019,March,1 North West Metro, Brimbank,14661,6995.819972515
2019,March,1 North West Metro, Darebin,11245,6847.354832424
2019,March,1 North West Metro, Hobsons Bay,4848,4958.829847082
2019,March,1 North West Metro, Hume,15591,6675.801237449
2019,March,1 North West Metro, Maribyrnong,6669,7133.993710019
2019,March,1 North West Metro, Melbourne,26587,14853.570510743
2019,March,1 North West Metro, Melton,8330,5050.443808508
2019,March,1 North West Metro, Moonee Valley,6485,4976.479706553
2019,March,1 North West Metro, Moreland,11407,6139.033749347
2019,March,1 North West Metro, Nillumbik,1623,2493.125854468
2019,March,1 North West Metro, Whittlesea,11912,5172.451226026
2019,March,1 North West Metro, Wyndham,11463,4236.032327323
2019,March,1 North West Metro, Yarra,11182,11015.012411837
2019,March,1 North West Metro,Total,149009,6599.751882034
2019,March,2 Eastern, Alpine,399,3114.267873868
2019,March,2 Eastern, Bass Coast,1782,4907.063197026
2019,March,2 Eastern, Baw Baw,3179,5953.852492789
2019,March,2 Eastern, Benalla,877,6249.109305971
2019,March,2 Eastern, Boroondara,5570,3040.442802011
2019,March,2 Eastern, East Gippsland,3193,6749.386995857
2019,March,2 Eastern, Greater Shepparton,6228,9365.272702666
2019,March,2 Eastern, Indigo,371,2221.689921552
2019,March,2 Eastern, Knox,8090,4916.349139791
2019,March,2 Eastern, Latrobe,9942,13158.974494726
2019,March,2 Eastern, Manningham,3410,2672.727985265
2019,March,2 Eastern, Mansfield,321,3498.63760218
2019,March,2 Eastern, Maroondah,6034,5089.019895588
2019,March,2 Eastern, Mitchell,3034,6583.201336603
2019,March,2 Eastern, Moira,1682,5621.657754011
2019,March,2 Eastern, Monash,8030,3957.692610993
2019,March,2 Eastern, Murrindindi,593,4070.565623284
2019,March,2 Eastern, South Gippsland,995,3326.646606486
2019,March,2 Eastern, Strathbogie,448,4156.615327519
2019,March,2 Eastern, Towong,173,2864.712700778
2019,March,2 Eastern, Wangaratta,1639,5616.091008772
2019,March,2 Eastern, Wellington,2921,6582.090224886
2019,March,2 Eastern, Whitehorse,6361,3558.024152725
2019,March,2 Eastern, Wodonga,2420,5750.540598341
2019,March,2 Eastern, Yarra Ranges,5767,3616.263466145
2019,March,2 Eastern,Total,83459,4852.857120429
2019,March,3 Southern Metro, Bayside,3606,3374.635022834
2019,March,3 Southern Metro, Cardinia,4697,4187.058183796
2019,March,3 Southern Metro, Casey,16217,4581.565252767
2019,March,3 Southern Metro, Frankston,11156,7820.813908654
2019,March,3 Southern Metro, Glen Eira,4892,3125.179672278
2019,March,3 Southern Metro, Greater Dandenong,14195,8436.298369795
2019,March,3 Southern Metro, Kingston,8608,5191.672094762
2019,March,3 Southern Metro, Mornington Peninsula,8161,4868.779792267
2019,March,3 Southern Metro, Port Phillip,9650,8346.306867324
2019,March,3 Southern Metro, Stonnington,8170,6936.897160712
2019,March,3 Southern Metro,Total,89352,5559.285167213
2019,March,4 Western, Ararat,912,7700.101317123
2019,March,4 Western, Ballarat,8129,7423.473115137
2019,March,4 Western, Buloke,214,3495.018781643
2019,March,4 Western, Campaspe,2919,7760.202047056
2019,March,4 Western, Central Goldfields,917,6956.455773024
2019,March,4 Western, Colac-Otway,1320,6121.881087098
2019,March,4 Western, Corangamite,487,3040.519448086
2019,March,4 Western, Gannawarra,581,5549.718215684
2019,March,4 Western, Glenelg,956,4859.946113568
2019,March,4 Western, Golden Plains,510,2149.903043588
2019,March,4 Western, Greater Bendigo,8092,6852.342684879
2019,March,4 Western, Greater Geelong,15777,6092.964338954
2019,March,4 Western, Hepburn,619,3875.289551118
2019,March,4 Western, Hindmarsh,249,4457.572502685
2019,March,4 Western, Horsham,1436,7208.835341365
2019,March,4 Western, Loddon,386,5145.29458811
2019,March,4 Western, Macedon Ranges,1782,3547.680668923
2019,March,4 Western, Mildura,5493,9847.792179853
2019,March,4 Western, Moorabool,1633,4658.925565604
2019,March,4 Western, Mount Alexander,751,3802.33912207
2019,March,4 Western, Moyne,458,2701.746106654
2019,March,4 Western, Northern Grampians,762,6683.624243487
2019,March,4 Western, Pyrenees,419,5609.103078983
2019,March,4 Western, Queenscliffe,118,4014.971078598
2019,March,4 Western, Southern Grampians,1108,6882.842589142
2019,March,4 Western, Surf Coast,899,2687.031114565
2019,March,4 Western, Swan Hill,1868,9046.004842615
2019,March,4 Western, Warrnambool,3007,8547.227196498
2019,March,4 Western, West Wimmera,125,3256.056264652
2019,March,4 Western, Yarriambiack,320,4821.455476872
2019,March,4 Western,Total,62247,6156.03557915
2019,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1483,
2019,March,Justice Institutions and Immigration Facilities,Total,1483,
2019,March,Unincorporated Vic, Unincorporated Vic,95,
2019,March,Unincorporated Vic,Total,95,
2018,March,1 North West Metro, Banyule,7369,5657.581573896
2018,March,1 North West Metro, Brimbank,13549,6490.72548193
2018,March,1 North West Metro, Darebin,11425,7067.607777152
2018,March,1 North West Metro, Hobsons Bay,4830,5006.16701734
2018,March,1 North West Metro, Hume,15266,6802.333094202
2018,March,1 North West Metro, Maribyrnong,6582,7200.288799186
2018,March,1 North West Metro, Melbourne,26849,15764.133938479
2018,March,1 North West Metro, Melton,7803,4979.006878597
2018,March,1 North West Metro, Moonee Valley,6692,5231.967225932
2018,March,1 North West Metro, Moreland,11020,6062.273077346
2018,March,1 North West Metro, Nillumbik,1795,2764.047366071
2018,March,1 North West Metro, Whittlesea,11340,5077.301239775
2018,March,1 North West Metro, Wyndham,10861,4253.09456586
2018,March,1 North West Metro, Yarra,10648,10802.804183956
2018,March,1 North West Metro,Total,146029,6662.189591073
2018,March,2 Eastern, Alpine,319,2505.891594658
2018,March,2 Eastern, Bass Coast,1799,5092.566381702
2018,March,2 Eastern, Baw Baw,2929,5631.392755518
2018,March,2 Eastern, Benalla,980,6988.51886187
2018,March,2 Eastern, Boroondara,5632,3105.151729005
2018,March,2 Eastern, East Gippsland,3055,6525.546821599
2018,March,2 Eastern, Greater Shepparton,5979,9057.992970549
2018,March,2 Eastern, Indigo,339,2055.916065256
2018,March,2 Eastern, Knox,8516,5217.753596549
2018,March,2 Eastern, Latrobe,9376,12466.593093912
2018,March,2 Eastern, Manningham,3660,2915.52156769
2018,March,2 Eastern, Mansfield,453,5045.105245573
2018,March,2 Eastern, Maroondah,5880,5004.042381175
2018,March,2 Eastern, Mitchell,3041,6864.869745812
2018,March,2 Eastern, Moira,1504,5047.488002148
2018,March,2 Eastern, Monash,8299,4145.106187441
2018,March,2 Eastern, Murrindindi,532,3674.540682415
2018,March,2 Eastern, South Gippsland,1006,3401.521555368
2018,March,2 Eastern, Strathbogie,438,4114.994363021
2018,March,2 Eastern, Towong,171,2824.578790882
2018,March,2 Eastern, Wangaratta,1799,6185.106236677
2018,March,2 Eastern, Wellington,2657,6036.304155213
2018,March,2 Eastern, Whitehorse,6497,3685.760156121
2018,March,2 Eastern, Wodonga,2369,5718.216708103
2018,March,2 Eastern, Yarra Ranges,5516,3487.364940476
2018,March,2 Eastern,Total,82746,4869.548637226
2018,March,3 Southern Metro, Bayside,3897,3685.280627926
2018,March,3 Southern Metro, Cardinia,4294,4008.700766452
2018,March,3 Southern Metro, Casey,14726,4325.540545701
2018,March,3 Southern Metro, Frankston,10719,7556.733663736
2018,March,3 Southern Metro, Glen Eira,5232,3399.168399168
2018,March,3 Southern Metro, Greater Dandenong,13628,8202.720597087
2018,March,3 Southern Metro, Kingston,7907,4837.505812104
2018,March,3 Southern Metro, Mornington Peninsula,8519,5137.405546878
2018,March,3 Southern Metro, Port Phillip,9780,8634.6179314
2018,March,3 Southern Metro, Stonnington,8001,6880.74577962
2018,March,3 Southern Metro,Total,86703,5508.334323359
2018,March,4 Western, Ararat,885,7503.179313268
2018,March,4 Western, Ballarat,8900,8292.64656554
2018,March,4 Western, Buloke,168,2717.127607957
2018,March,4 Western, Campaspe,2511,6679.968076616
2018,March,4 Western, Central Goldfields,907,6867.050272562
2018,March,4 Western, Colac-Otway,1242,5776.206864478
2018,March,4 Western, Corangamite,620,3841.625875209
2018,March,4 Western, Gannawarra,417,3954.105822113
2018,March,4 Western, Glenelg,1196,6082.180634662
2018,March,4 Western, Golden Plains,481,2080.629812267
2018,March,4 Western, Greater Bendigo,7089,6109.047664188
2018,March,4 Western, Greater Geelong,16864,6685.987733369
2018,March,4 Western, Hepburn,639,4041.234505439
2018,March,4 Western, Hindmarsh,253,4482.636428065
2018,March,4 Western, Horsham,1637,8236.89242226
2018,March,4 Western, Loddon,317,4219.353121256
2018,March,4 Western, Macedon Ranges,1522,3081.782655355
2018,March,4 Western, Mildura,4822,8685.784278406
2018,March,4 Western, Moorabool,1823,5337.276027638
2018,March,4 Western, Mount Alexander,733,3756.277544327
2018,March,4 Western, Moyne,464,2747.675726891
2018,March,4 Western, Northern Grampians,802,7016.622922135
2018,March,4 Western, Pyrenees,307,4175.166598667
2018,March,4 Western, Queenscliffe,108,3621.730382294
2018,March,4 Western, Southern Grampians,1004,6222.883351928
2018,March,4 Western, Surf Coast,952,2951.754929927
2018,March,4 Western, Swan Hill,1752,8439.306358382
2018,March,4 Western, Warrnambool,2707,7764.678885925
2018,March,4 Western, West Wimmera,114,2951.838425686
2018,March,4 Western, Yarriambiack,358,5376.990087113
2018,March,4 Western,Total,61594,6184.533945956
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1476,
2018,March,Justice Institutions and Immigration Facilities,Total,1476,
2018,March,Unincorporated Vic, Unincorporated Vic,117,
2018,March,Unincorporated Vic,Total,117,
2017,March,1 North West Metro, Banyule,7447,5767.726445417
2017,March,1 North West Metro, Brimbank,14670,7087.059232743
2017,March,1 North West Metro, Darebin,13200,8314.908252546
2017,March,1 North West Metro, Hobsons Bay,5227,5497.996234393
2017,March,1 North West Metro, Hume,17033,7913.56544848
2017,March,1 North West Metro, Maribyrnong,7193,8049.282692867
2017,March,1 North West Metro, Melbourne,28114,17666.094846708
2017,March,1 North West Metro, Melton,8968,6034.262336998
2017,March,1 North West Metro, Moonee Valley,7759,6186.857612171
2017,March,1 North West Metro, Moreland,11798,6666.515985399
2017,March,1 North West Metro, Nillumbik,2171,3359.744962704
2017,March,1 North West Metro, Whittlesea,12870,5967.007594373
2017,March,1 North West Metro, Wyndham,11966,4963.682898399
2017,March,1 North West Metro, Yarra,11310,11781.986374148
2017,March,1 North West Metro,Total,159726,7526.977489189
2017,March,2 Eastern, Alpine,280,2215.540433613
2017,March,2 Eastern, Bass Coast,1986,5775.606351422
2017,March,2 Eastern, Baw Baw,2894,5710.79011761
2017,March,2 Eastern, Benalla,1000,7156.147130385
2017,March,2 Eastern, Boroondara,7007,3899.775708633
2017,March,2 Eastern, East Gippsland,2951,6396.306571874
2017,March,2 Eastern, Greater Shepparton,6307,9621.07575434
2017,March,2 Eastern, Indigo,350,2142.900875528
2017,March,2 Eastern, Knox,9323,5761.090547313
2017,March,2 Eastern, Latrobe,10348,13814.278848721
2017,March,2 Eastern, Manningham,4064,3270.298543494
2017,March,2 Eastern, Mansfield,470,5343.337880855
2017,March,2 Eastern, Maroondah,7070,6078.008270218
2017,March,2 Eastern, Mitchell,3140,7318.835512668
2017,March,2 Eastern, Moira,1376,4640.496425199
2017,March,2 Eastern, Monash,9028,4584.556321792
2017,March,2 Eastern, Murrindindi,524,3681.326401574
2017,March,2 Eastern, South Gippsland,1145,3905.050987347
2017,March,2 Eastern, Strathbogie,462,4406.714994277
2017,March,2 Eastern, Towong,174,2881.271733731
2017,March,2 Eastern, Wangaratta,1877,6505.389387585
2017,March,2 Eastern, Wellington,3224,7360.562544234
2017,March,2 Eastern, Whitehorse,6614,3817.318181031
2017,March,2 Eastern, Wodonga,2532,6204.057630109
2017,March,2 Eastern, Yarra Ranges,6435,4102.148926812
2017,March,2 Eastern,Total,90581,5396.065526504
2017,March,3 Southern Metro, Bayside,4127,3957.53821369
2017,March,3 Southern Metro, Cardinia,5199,5076.999697274
2017,March,3 Southern Metro, Casey,18108,5541.49542034
2017,March,3 Southern Metro, Frankston,12351,8777.128725536
2017,March,3 Southern Metro, Glen Eira,5873,3877.668249074
2017,March,3 Southern Metro, Greater Dandenong,15458,9453.393510195
2017,March,3 Southern Metro, Kingston,8381,5203.941608559
2017,March,3 Southern Metro, Mornington Peninsula,8942,5457.96354847
2017,March,3 Southern Metro, Port Phillip,10468,9459.94794679
2017,March,3 Southern Metro, Stonnington,9107,8004.605702633
2017,March,3 Southern Metro,Total,98014,6370.908088728
2017,March,4 Western, Ararat,909,7732.221844165
2017,March,4 Western, Ballarat,9216,8742.008309461
2017,March,4 Western, Buloke,141,2272.360999194
2017,March,4 Western, Campaspe,2741,7290.475303881
2017,March,4 Western, Central Goldfields,949,7217.82780651
2017,March,4 Western, Colac-Otway,1616,7540.830611293
2017,March,4 Western, Corangamite,801,4941.39420111
2017,March,4 Western, Gannawarra,528,4995.742265115
2017,March,4 Western, Glenelg,1380,7007.921998781
2017,March,4 Western, Golden Plains,590,2614.321162708
2017,March,4 Western, Greater Bendigo,8032,7039.994390443
2017,March,4 Western, Greater Geelong,18084,7359.356687069
2017,March,4 Western, Hepburn,723,4626.015739971
