year,region_name,lga_name,incident_count,rate_per_100000pop
2021,3 Southern Metro,Cardinia,5563,4687.592163472
2021,3 Southern Metro,Casey,16137,4374.818698643
2021,3 Southern Metro,Frankston,10207,7180.594736435
2021,3 Southern Metro,Glen Eira,6020,3880.791372008
2021,3 Southern Metro,Greater Dandenong,14221,8710.325481117
2021,3 Southern Metro,Kingston,8041,4882.803011902
2021,3 Southern Metro,Mornington Peninsula,7617,4510.703816658
2021,3 Southern Metro,Port Phillip,10175,9077.365021589
2021,3 Southern Metro,Stonnington,8943,7821.409830331
2021,4 Western,Ararat,1087,9117.597718504
2021,4 Western,Ballarat,7188,6350.777060159
2021,4 Western,Buloke,244,4019.107231099
2021,4 Western,Campaspe,2456,6503.892802288
2021,4 Western,Central Goldfields,820,6233.845218185
2021,4 Western,Colac-Otway,1226,5693.851012447
2021,4 Western,Corangamite,682,4312.907101752
2021,4 Western,Gannawarra,639,6121.862425752
2021,4 Western,Glenelg,1048,5358.147144537
2021,4 Western,Golden Plains,450,1817.080557238
2021,4 Western,Greater Bendigo,8000,6590.763045592
2021,4 Western,Greater Geelong,15511,5755.302254479
2021,4 Western,Hepburn,507,3114.059332965
2021,4 Western,Hindmarsh,287,5158.159597412
2021,4 Western,Horsham,1472,7374.38004108
2021,4 Western,Loddon,412,5495.531545952
2021,4 Western,Macedon Ranges,1853,3581.160736718
2021,4 Western,Mildura,4405,7975.015841405
2021,4 Western,Moorabool,1990,5411.579147744
2021,4 Western,Mount Alexander,728,3604.674192909
2021,4 Western,Moyne,509,2955.693629871
2021,4 Western,Northern Grampians,894,7855.197258589
2021,4 Western,Pyrenees,344,4513.251115193
2021,4 Western,Queenscliffe,81,2652.259332024
2021,4 Western,Southern Grampians,791,4929.270268586
2021,4 Western,Surf Coast,1164,3208.556149733
2021,4 Western,Swan Hill,1857,9211.766456669
2021,4 Western,Warrnambool,2200,6178.560395428
2021,4 Western,West Wimmera,122,3253.333333333
2021,4 Western,Yarriambiack,333,5161.990389087
2021,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1270,
2021,Unincorporated Vic,Unincorporated Vic,30,
2020,1 North West Metro,Banyule,7262,5505.894840593
2020,1 North West Metro,Brimbank,15480,7437.05169904
2020,1 North West Metro,Darebin,11895,7150.328211787
2020,1 North West Metro,Hobsons Bay,4906,4998.675442708
2020,1 North West Metro,Hume,15894,6593.981032036
2020,1 North West Metro,Maribyrnong,7305,7695.305916063
2020,1 North West Metro,Melbourne,26901,14649.726621212
2020,1 North West Metro,Melton,9320,5406.09519832
2020,1 North West Metro,Moonee Valley,6719,5101.668919227
2020,1 North West Metro,Moreland,11100,5883.600127213
2020,1 North West Metro,Nillumbik,1691,2593.558282209
2020,1 North West Metro,Whittlesea,12248,5180.807999628
2020,1 North West Metro,Wyndham,13871,4899.993641418
2020,1 North West Metro,Yarra,11428,11086.964957895
2020,2 Eastern,Alpine,438,3376.763549456
2020,2 Eastern,Bass Coast,1786,4770.426560538
2020,2 Eastern,Baw Baw,3587,6537.746509678
2020,2 Eastern,Benalla,935,6614.785992218
2020,2 Eastern,Boroondara,6521,3563.894323784
2020,2 Eastern,East Gippsland,3638,7623.478133317
2020,2 Eastern,Greater Shepparton,6382,9519.405745652
