,Year,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
113,2021,2 Eastern,Mansfield,388,3983.572895277
114,2021,2 Eastern,Maroondah,5708,4858.533928024
115,2021,2 Eastern,Mitchell,3163,6426.771781534
116,2021,2 Eastern,Moira,1630,5433.152228259
117,2021,2 Eastern,Monash,9572,4834.831801192
118,2021,2 Eastern,Murrindindi,663,4453.550077249
119,2021,2 Eastern,South Gippsland,1264,4150.385815137
120,2021,2 Eastern,Strathbogie,453,4056.595325513
121,2021,2 Eastern,Towong,153,2519.347933476
122,2021,2 Eastern,Wangaratta,1658,5643.486844345
123,2021,2 Eastern,Wellington,3218,7136.520890624
124,2021,2 Eastern,Whitehorse,6947,3947.832016821
125,2021,2 Eastern,Wodonga,2417,5596.721159635
126,2021,2 Eastern,Yarra Ranges,6111,3847.48569234
127,2021,2 Eastern,Total,87109,5074.238753509
128,2021,3 Southern Metro,Bayside,3827,3624.739534003
129,2021,3 Southern Metro,Cardinia,5563,4687.592163472
130,2021,3 Southern Metro,Casey,16137,4374.818698643
131,2021,3 Southern Metro,Frankston,10207,7180.594736435
132,2021,3 Southern Metro,Glen Eira,6020,3880.791372008
133,2021,3 Southern Metro,Greater Dandenong,14221,8710.325481117
134,2021,3 Southern Metro,Kingston,8041,4882.803011902
135,2021,3 Southern Metro,Mornington Peninsula,7617,4510.703816658
136,2021,3 Southern Metro,Port Phillip,10175,9077.365021589
137,2021,3 Southern Metro,Stonnington,8943,7821.409830331
138,2021,3 Southern Metro,Total,90751,5624.031298396
139,2021,4 Western,Ararat,1087,9117.597718504
140,2021,4 Western,Ballarat,7188,6350.777060159
141,2021,4 Western,Buloke,244,4019.107231099
142,2021,4 Western,Campaspe,2456,6503.892802288
143,2021,4 Western,Central Goldfields,820,6233.845218185
144,2021,4 Western,Colac-Otway,1226,5693.851012447
145,2021,4 Western,Corangamite,682,4312.907101752
146,2021,4 Western,Gannawarra,639,6121.862425752
147,2021,4 Western,Glenelg,1048,5358.147144537
148,2021,4 Western,Golden Plains,450,1817.080557238
149,2021,4 Western,Greater Bendigo,8000,6590.763045592
150,2021,4 Western,Greater Geelong,15511,5755.302254479
151,2021,4 Western,Hepburn,507,3114.059332965
152,2021,4 Western,Hindmarsh,287,5158.159597412
153,2021,4 Western,Horsham,1472,7374.38004108
154,2021,4 Western,Loddon,412,5495.531545952
155,2021,4 Western,Macedon Ranges,1853,3581.160736718
156,2021,4 Western,Mildura,4405,7975.015841405
157,2021,4 Western,Moorabool,1990,5411.579147744
158,2021,4 Western,Mount Alexander,728,3604.674192909
159,2021,4 Western,Moyne,509,2955.693629871
160,2021,4 Western,Northern Grampians,894,7855.197258589
161,2021,4 Western,Pyrenees,344,4513.251115193
162,2021,4 Western,Queenscliffe,81,2652.259332024
163,2021,4 Western,Southern Grampians,791,4929.270268586
164,2021,4 Western,Surf Coast,1164,3208.556149733
165,2021,4 Western,Swan Hill,1857,9211.766456669
166,2021,4 Western,Warrnambool,2200,6178.560395428
167,2021,4 Western,West Wimmera,122,3253.333333333
168,2021,4 Western,Yarriambiack,333,5161.990389087
169,2021,4 Western,Total,59300,5724.441046463
170,2021,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1270,
171,2021,Justice Institutions and Immigration Facilities,Total,1270,
172,2021,Unincorporated Vic,Unincorporated Vic,30,
173,2021,Unincorporated Vic,Total,30,
174,2020,1 North West Metro,Banyule,7262,5505.894840593
175,2020,1 North West Metro,Brimbank,15480,7437.05169904
176,2020,1 North West Metro,Darebin,11895,7150.328211787
177,2020,1 North West Metro,Hobsons Bay,4906,4998.675442708
178,2020,1 North West Metro,Hume,15894,6593.981032036
179,2020,1 North West Metro,Maribyrnong,7305,7695.305916063
180,2020,1 North West Metro,Melbourne,26901,14649.726621212
181,2020,1 North West Metro,Melton,9320,5406.09519832
182,2020,1 North West Metro,Moonee Valley,6719,5101.668919227
183,2020,1 North West Metro,Moreland,11100,5883.600127213
184,2020,1 North West Metro,Nillumbik,1691,2593.558282209
185,2020,1 North West Metro,Whittlesea,12248,5180.807999628
186,2020,1 North West Metro,Wyndham,13871,4899.993641418
187,2020,1 North West Metro,Yarra,11428,11086.964957895
188,2020,1 North West Metro,Total,156020,6769.74157221
189,2020,2 Eastern,Alpine,438,3376.763549456
190,2020,2 Eastern,Bass Coast,1786,4770.426560538
191,2020,2 Eastern,Baw Baw,3587,6537.746509678
192,2020,2 Eastern,Benalla,935,6614.785992218
193,2020,2 Eastern,Boroondara,6521,3563.894323784
194,2020,2 Eastern,East Gippsland,3638,7623.478133317
195,2020,2 Eastern,Greater Shepparton,6382,9519.405745652
196,2020,2 Eastern,Indigo,430,2547.091576827
197,2020,2 Eastern,Knox,8873,5374.579022606
198,2020,2 Eastern,Latrobe,10075,13274.919296396
199,2020,2 Eastern,Manningham,3741,2902.429941346
200,2020,2 Eastern,Mansfield,337,3557.85472973
201,2020,2 Eastern,Maroondah,5920,4959.993297306
202,2020,2 Eastern,Mitchell,3120,6550.905998698
203,2020,2 Eastern,Moira,1835,6114.220978275
204,2020,2 Eastern,Monash,9577,4675.24225634
205,2020,2 Eastern,Murrindindi,598,4079.405143598
206,2020,2 Eastern,South Gippsland,1359,4493.601825216
207,2020,2 Eastern,Strathbogie,475,4322.111010009
208,2020,2 Eastern,Towong,155,2540.567120144
209,2020,2 Eastern,Wangaratta,1748,5988.147031619
210,2020,2 Eastern,Wellington,3385,7562.38689931
211,2020,2 Eastern,Whitehorse,7354,4070.539786565
212,2020,2 Eastern,Wodonga,2828,6631.492554813
213,2020,2 Eastern,Yarra Ranges,6187,3869.269110262
214,2020,2 Eastern,Total,91284,5263.221621622
215,2020,3 Southern Metro,Bayside,4195,3901.744856579
216,2020,3 Southern Metro,Cardinia,5449,4692.114939164
217,2020,3 Southern Metro,Casey,17145,4705.071982524
218,2020,3 Southern Metro,Frankston,11096,7744.222890683
219,2020,3 Southern Metro,Glen Eira,6105,3860.283656552
220,2020,3 Southern Metro,Greater Dandenong,14725,8750.973155758
221,2020,3 Southern Metro,Kingston,9034,5402.205372306
222,2020,3 Southern Metro,Mornington Peninsula,8620,5105.6671721
223,2020,3 Southern Metro,Port Phillip,9957,8552.874580173
224,2020,3 Southern Metro,Stonnington,9462,7980.298059325
225,2020,3 Southern Metro,Total,95788,5880.958900577
226,2020,4 Western,Ararat,894,7473.666610935
227,2020,4 Western,Ballarat,8711,7824.837188412
228,2020,4 Western,Buloke,254,4163.251925914
229,2020,4 Western,Campaspe,2798,7428.055644048
230,2020,4 Western,Central Goldfields,866,6614.726550565
231,2020,4 Western,Colac-Otway,1280,5910.329223808
232,2020,4 Western,Corangamite,548,3440.698185471
233,2020,4 Western,Gannawarra,608,5846.153846154
234,2020,4 Western,Glenelg,1165,5938.423896422
235,2020,4 Western,Golden Plains,472,1947.114392971
236,2020,4 Western,Greater Bendigo,8323,6939.418699661
237,2020,4 Western,Greater Geelong,17000,6420.351759743
238,2020,4 Western,Hepburn,738,4567.962366923
239,2020,4 Western,Hindmarsh,246,4399.141630901
240,2020,4 Western,Horsham,1356,6775.934439336
241,2020,4 Western,Loddon,366,4897.631473304
242,2020,4 Western,Macedon Ranges,1724,3383.244696509
243,2020,4 Western,Mildura,5545,9916.660705344
244,2020,4 Western,Moorabool,1641,4558.080106661
245,2020,4 Western,Mount Alexander,894,4470.223511176
246,2020,4 Western,Moyne,506,2972.449039535
247,2020,4 Western,Northern Grampians,735,6446.802912025
248,2020,4 Western,Pyrenees,350,4632.69358041
249,2020,4 Western,Queenscliffe,101,3357.712765957
250,2020,4 Western,Southern Grampians,887,5498.729155043
251,2020,4 Western,Surf Coast,1043,3000.489053825
252,2020,4 Western,Swan Hill,1770,8624.049892808
253,2020,4 Western,Warrnambool,2467,6944.991836045
254,2020,4 Western,West Wimmera,143,3754.266211604
255,2020,4 Western,Yarriambiack,318,4827.690906331
256,2020,4 Western,Total,63749,6218.565269134
257,2020,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1377,
258,2020,Justice Institutions and Immigration Facilities,Total,1377,
259,2020,Unincorporated Vic,Unincorporated Vic,109,
260,2020,Unincorporated Vic,Total,109,
261,2019,1 North West Metro,Banyule,7006,5322.090549985
