Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2022,March,Mount Alexander,No charges laid,147
2022,March,Mount Alexander,Unsolved,294
2022,March,Moyne,Charges laid,222
2022,March,Moyne,No charges laid,94
2022,March,Moyne,Unsolved,230
2022,March,Murrindindi,Charges laid,167
2022,March,Murrindindi,No charges laid,154
2022,March,Murrindindi,Unsolved,210
2022,March,Nillumbik,Charges laid,421
2022,March,Nillumbik,No charges laid,320
2022,March,Nillumbik,Unsolved,578
2022,March,Northern Grampians,Charges laid,352
2022,March,Northern Grampians,No charges laid,236
2022,March,Northern Grampians,Unsolved,218
2022,March,Port Phillip,Charges laid,2471
2022,March,Port Phillip,No charges laid,1361
2022,March,Port Phillip,Unsolved,5325
2022,March,Pyrenees,Charges laid,100
2022,March,Pyrenees,No charges laid,49
2022,March,Pyrenees,Unsolved,153
2022,March,Queenscliffe,Charges laid,28
2022,March,Queenscliffe,No charges laid,17
2022,March,Queenscliffe,Unsolved,73
2022,March,South Gippsland,Charges laid,536
2022,March,South Gippsland,No charges laid,255
2022,March,South Gippsland,Unsolved,403
2022,March,Southern Grampians,Charges laid,436
2022,March,Southern Grampians,No charges laid,167
2022,March,Southern Grampians,Unsolved,196
2022,March,Stonnington,Charges laid,1937
2022,March,Stonnington,No charges laid,1231
2022,March,Stonnington,Unsolved,4652
2022,March,Strathbogie,Charges laid,173
2022,March,Strathbogie,No charges laid,97
2022,March,Strathbogie,Unsolved,176
2022,March,Surf Coast,Charges laid,334
2022,March,Surf Coast,No charges laid,219
2022,March,Surf Coast,Unsolved,496
2022,March,Swan Hill,Charges laid,828
2022,March,Swan Hill,No charges laid,494
2022,March,Swan Hill,Unsolved,374
2022,March,Towong,Charges laid,35
2022,March,Towong,No charges laid,30
2022,March,Towong,Unsolved,83
2022,March,Wangaratta,Charges laid,789
2022,March,Wangaratta,No charges laid,395
2022,March,Wangaratta,Unsolved,471
2022,March,Warrnambool,Charges laid,988
2022,March,Warrnambool,No charges laid,483
2022,March,Warrnambool,Unsolved,736
2022,March,Wellington,Charges laid,1159
2022,March,Wellington,No charges laid,756
2022,March,Wellington,Unsolved,1049
2022,March,West Wimmera,Charges laid,52
2022,March,West Wimmera,No charges laid,41
2022,March,West Wimmera,Unsolved,58
2022,March,Whitehorse,Charges laid,1579
2022,March,Whitehorse,No charges laid,832
2022,March,Whitehorse,Unsolved,3048
2022,March,Whittlesea,Charges laid,3028
2022,March,Whittlesea,No charges laid,2072
2022,March,Whittlesea,Unsolved,3839
2022,March,Wodonga,Charges laid,917
2022,March,Wodonga,No charges laid,560
2022,March,Wodonga,Unsolved,1205
2022,March,Wyndham,Charges laid,3868
2022,March,Wyndham,No charges laid,1978
2022,March,Wyndham,Unsolved,6248
2022,March,Yarra,Charges laid,2351
2022,March,Yarra,No charges laid,1278
2022,March,Yarra,Unsolved,5161
2022,March,Yarra Ranges,Charges laid,1613
2022,March,Yarra Ranges,No charges laid,1290
2022,March,Yarra Ranges,Unsolved,2083
2022,March,Yarriambiack,Charges laid,128
2022,March,Yarriambiack,No charges laid,74
2022,March,Yarriambiack,Unsolved,102
2021,March,Alpine,Charges laid,177
2021,March,Alpine,No charges laid,119
2021,March,Alpine,Unsolved,104
2021,March,Ararat,Charges laid,594
2021,March,Ararat,No charges laid,259
2021,March,Ararat,Unsolved,234
2021,March,Ballarat,Charges laid,3045
2021,March,Ballarat,No charges laid,1088
2021,March,Ballarat,Unsolved,3055
2021,March,Banyule,Charges laid,2742
2021,March,Banyule,No charges laid,1225
2021,March,Banyule,Unsolved,2319
2021,March,Bass Coast,Charges laid,907
2021,March,Bass Coast,No charges laid,554
2021,March,Bass Coast,Unsolved,635
2021,March,Baw Baw,Charges laid,1639
2021,March,Baw Baw,No charges laid,864
2021,March,Baw Baw,Unsolved,1082
2021,March,Bayside,Charges laid,1158
2021,March,Bayside,No charges laid,741
2021,March,Bayside,Unsolved,1928
2021,March,Benalla,Charges laid,477
2021,March,Benalla,No charges laid,219
2021,March,Benalla,Unsolved,299
2021,March,Boroondara,Charges laid,1673
2021,March,Boroondara,No charges laid,867
2021,March,Boroondara,Unsolved,3414
2021,March,Brimbank,Charges laid,5556
2021,March,Brimbank,No charges laid,2984
2021,March,Brimbank,Unsolved,5974
2021,March,Buloke,Charges laid,105
2021,March,Buloke,No charges laid,74
2021,March,Buloke,Unsolved,65
2021,March,Campaspe,Charges laid,1072
2021,March,Campaspe,No charges laid,506
2021,March,Campaspe,Unsolved,878
2021,March,Cardinia,Charges laid,2043
2021,March,Cardinia,No charges laid,1546
2021,March,Cardinia,Unsolved,1974
2021,March,Casey,Charges laid,5757
2021,March,Casey,No charges laid,4311
2021,March,Casey,Unsolved,6069
2021,March,Central Goldfields,Charges laid,396
2021,March,Central Goldfields,No charges laid,200
2021,March,Central Goldfields,Unsolved,224
2021,March,Colac-Otway,Charges laid,553
2021,March,Colac-Otway,No charges laid,373
2021,March,Colac-Otway,Unsolved,300
2021,March,Corangamite,Charges laid,303
2021,March,Corangamite,No charges laid,167
2021,March,Corangamite,Unsolved,212
2021,March,Darebin,Charges laid,4328
2021,March,Darebin,No charges laid,2152
2021,March,Darebin,Unsolved,4995
2021,March,East Gippsland,Charges laid,1680
2021,March,East Gippsland,No charges laid,993
2021,March,East Gippsland,Unsolved,956
2021,March,Frankston,Charges laid,4518
2021,March,Frankston,No charges laid,2781
2021,March,Frankston,Unsolved,2908
2021,March,Gannawarra,Charges laid,320
2021,March,Gannawarra,No charges laid,182
2021,March,Gannawarra,Unsolved,137
2021,March,Glen Eira,Charges laid,1602
2021,March,Glen Eira,No charges laid,1202
2021,March,Glen Eira,Unsolved,3216
2021,March,Glenelg,Charges laid,594
2021,March,Glenelg,No charges laid,221
2021,March,Glenelg,Unsolved,233
2021,March,Golden Plains,Charges laid,143
2021,March,Golden Plains,No charges laid,77
2021,March,Golden Plains,Unsolved,230
2021,March,Greater Bendigo,Charges laid,3849
2021,March,Greater Bendigo,No charges laid,1419
2021,March,Greater Bendigo,Unsolved,2732
2021,March,Greater Dandenong,Charges laid,5201
2021,March,Greater Dandenong,No charges laid,3905
2021,March,Greater Dandenong,Unsolved,5115
2021,March,Greater Geelong,Charges laid,6993
2021,March,Greater Geelong,No charges laid,2585
2021,March,Greater Geelong,Unsolved,5933
2021,March,Greater Shepparton,Charges laid,2925
2021,March,Greater Shepparton,No charges laid,1128
2021,March,Greater Shepparton,Unsolved,1884
2021,March,Hepburn,Charges laid,170
2021,March,Hepburn,No charges laid,85
2021,March,Hepburn,Unsolved,252
2021,March,Hindmarsh,Charges laid,126
2021,March,Hindmarsh,No charges laid,56
2021,March,Hindmarsh,Unsolved,105
2021,March,Hobsons Bay,Charges laid,1568
2021,March,Hobsons Bay,No charges laid,1042
2021,March,Hobsons Bay,Unsolved,1851
2021,March,Horsham,Charges laid,799
2021,March,Horsham,No charges laid,360
2021,March,Horsham,Unsolved,313
2021,March,Hume,Charges laid,6035
2021,March,Hume,No charges laid,4243
2021,March,Hume,Unsolved,5201
2021,March,Indigo,Charges laid,171
2021,March,Indigo,No charges laid,90
2021,March,Indigo,Unsolved,166
2021,March,Kingston,Charges laid,2841
2021,March,Kingston,No charges laid,1800
2021,March,Kingston,Unsolved,3400
2021,March,Knox,Charges laid,3166
2021,March,Knox,No charges laid,1770
2021,March,Knox,Unsolved,3347
2021,March,Latrobe,Charges laid,4744
2021,March,Latrobe,No charges laid,1912
2021,March,Latrobe,Unsolved,2431
2021,March,Loddon,Charges laid,180
2021,March,Loddon,No charges laid,84
2021,March,Loddon,Unsolved,148
2021,March,Macedon Ranges,Charges laid,861
2021,March,Macedon Ranges,No charges laid,460
2021,March,Macedon Ranges,Unsolved,532
2021,March,Manningham,Charges laid,1159
2021,March,Manningham,No charges laid,600
2021,March,Manningham,Unsolved,1612
2021,March,Mansfield,Charges laid,170
2021,March,Mansfield,No charges laid,109
2021,March,Mansfield,Unsolved,109
2021,March,Maribyrnong,Charges laid,2234
2021,March,Maribyrnong,No charges laid,1260
2021,March,Maribyrnong,Unsolved,3554
2021,March,Maroondah,Charges laid,2591
2021,March,Maroondah,No charges laid,1162
2021,March,Maroondah,Unsolved,1955
2021,March,Melbourne,Charges laid,9306
2021,March,Melbourne,No charges laid,7522
2021,March,Melbourne,Unsolved,9129
2021,March,Melton,Charges laid,3888
2021,March,Melton,No charges laid,1913
2021,March,Melton,Unsolved,4082
2021,March,Mildura,Charges laid,2255
2021,March,Mildura,No charges laid,1011
2021,March,Mildura,Unsolved,1139
2021,March,Mitchell,Charges laid,1575
2021,March,Mitchell,No charges laid,810
2021,March,Mitchell,Unsolved,778
2021,March,Moira,Charges laid,780
2021,March,Moira,No charges laid,337
2021,March,Moira,Unsolved,513
2021,March,Monash,Charges laid,3245
2021,March,Monash,No charges laid,1934
2021,March,Monash,Unsolved,4393
2021,March,Moonee Valley,Charges laid,1868
2021,March,Moonee Valley,No charges laid,1492
2021,March,Moonee Valley,Unsolved,2748
2021,March,Moorabool,Charges laid,702
2021,March,Moorabool,No charges laid,556
2021,March,Moorabool,Unsolved,732
2021,March,Moreland,Charges laid,3158
2021,March,Moreland,No charges laid,1969
2021,March,Moreland,Unsolved,5021
2021,March,Mornington Peninsula,Charges laid,2936
2021,March,Mornington Peninsula,No charges laid,2233
2021,March,Mornington Peninsula,Unsolved,2448
2021,March,Mount Alexander,Charges laid,356
2021,March,Mount Alexander,No charges laid,146
2021,March,Mount Alexander,Unsolved,226
2021,March,Moyne,Charges laid,225
2021,March,Moyne,No charges laid,122
2021,March,Moyne,Unsolved,162
2021,March,Murrindindi,Charges laid,245
2021,March,Murrindindi,No charges laid,207
2021,March,Murrindindi,Unsolved,211
2021,March,Nillumbik,Charges laid,561
2021,March,Nillumbik,No charges laid,365
2021,March,Nillumbik,Unsolved,596
2021,March,Northern Grampians,Charges laid,411
2021,March,Northern Grampians,No charges laid,258
2021,March,Northern Grampians,Unsolved,225
2021,March,Port Phillip,Charges laid,3210
2021,March,Port Phillip,No charges laid,2131
2021,March,Port Phillip,Unsolved,4834
2021,March,Pyrenees,Charges laid,127
2021,March,Pyrenees,No charges laid,70
2021,March,Pyrenees,Unsolved,147
2021,March,Queenscliffe,Charges laid,20
2021,March,Queenscliffe,No charges laid,11
2021,March,Queenscliffe,Unsolved,50
2021,March,South Gippsland,Charges laid,608
2021,March,South Gippsland,No charges laid,307
2021,March,South Gippsland,Unsolved,349
2021,March,Southern Grampians,Charges laid,435
2021,March,Southern Grampians,No charges laid,185
2021,March,Southern Grampians,Unsolved,171
2021,March,Stonnington,Charges laid,2779
2021,March,Stonnington,No charges laid,1969
2021,March,Stonnington,Unsolved,4195
2021,March,Strathbogie,Charges laid,196
2021,March,Strathbogie,No charges laid,105
2021,March,Strathbogie,Unsolved,152
2021,March,Surf Coast,Charges laid,402
2021,March,Surf Coast,No charges laid,255
2021,March,Surf Coast,Unsolved,507
2021,March,Swan Hill,Charges laid,1015
2021,March,Swan Hill,No charges laid,512
2021,March,Swan Hill,Unsolved,330
2021,March,Towong,Charges laid,71
2021,March,Towong,No charges laid,32
2021,March,Towong,Unsolved,50
2021,March,Wangaratta,Charges laid,836
2021,March,Wangaratta,No charges laid,485
2021,March,Wangaratta,Unsolved,337
2021,March,Warrnambool,Charges laid,1217
2021,March,Warrnambool,No charges laid,437
2021,March,Warrnambool,Unsolved,546
2021,March,Wellington,Charges laid,1630
2021,March,Wellington,No charges laid,809
2021,March,Wellington,Unsolved,779
2021,March,West Wimmera,Charges laid,51
2021,March,West Wimmera,No charges laid,25
2021,March,West Wimmera,Unsolved,46
2021,March,Whitehorse,Charges laid,2304
2021,March,Whitehorse,No charges laid,1286
2021,March,Whitehorse,Unsolved,3357
2021,March,Whittlesea,Charges laid,4532
2021,March,Whittlesea,No charges laid,2905
2021,March,Whittlesea,Unsolved,4016
2021,March,Wodonga,Charges laid,1066
2021,March,Wodonga,No charges laid,575
