Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2020,March,Wyndham,Unsolved,6785
2020,March,Yarra,Charges laid,3437
2020,March,Yarra,No charges laid,1198
2020,March,Yarra,Unsolved,6793
2020,March,Yarra Ranges,Charges laid,2423
2020,March,Yarra Ranges,No charges laid,969
2020,March,Yarra Ranges,Unsolved,2795
2020,March,Yarriambiack,Charges laid,167
2020,March,Yarriambiack,No charges laid,48
2020,March,Yarriambiack,Unsolved,103
2019,March,Alpine,Charges laid,228
2019,March,Alpine,No charges laid,55
2019,March,Alpine,Unsolved,116
2019,March,Ararat,Charges laid,520
2019,March,Ararat,No charges laid,188
2019,March,Ararat,Unsolved,204
2019,March,Ballarat,Charges laid,3486
2019,March,Ballarat,No charges laid,745
2019,March,Ballarat,Unsolved,3898
2019,March,Banyule,Charges laid,3331
2019,March,Banyule,No charges laid,659
2019,March,Banyule,Unsolved,3016
2019,March,Bass Coast,Charges laid,792
2019,March,Bass Coast,No charges laid,318
2019,March,Bass Coast,Unsolved,672
2019,March,Baw Baw,Charges laid,1558
2019,March,Baw Baw,No charges laid,452
2019,March,Baw Baw,Unsolved,1169
2019,March,Bayside,Charges laid,952
2019,March,Bayside,No charges laid,544
2019,March,Bayside,Unsolved,2110
2019,March,Benalla,Charges laid,443
2019,March,Benalla,No charges laid,171
2019,March,Benalla,Unsolved,263
2019,March,Boroondara,Charges laid,1514
2019,March,Boroondara,No charges laid,532
2019,March,Boroondara,Unsolved,3524
2019,March,Brimbank,Charges laid,6488
2019,March,Brimbank,No charges laid,1444
2019,March,Brimbank,Unsolved,6729
2019,March,Buloke,Charges laid,62
2019,March,Buloke,No charges laid,55
2019,March,Buloke,Unsolved,97
2019,March,Campaspe,Charges laid,1265
2019,March,Campaspe,No charges laid,347
2019,March,Campaspe,Unsolved,1307
2019,March,Cardinia,Charges laid,1818
2019,March,Cardinia,No charges laid,789
2019,March,Cardinia,Unsolved,2090
2019,March,Casey,Charges laid,5871
2019,March,Casey,No charges laid,2874
2019,March,Casey,Unsolved,7472
2019,March,Central Goldfields,Charges laid,482
2019,March,Central Goldfields,No charges laid,196
2019,March,Central Goldfields,Unsolved,239
2019,March,Colac-Otway,Charges laid,607
2019,March,Colac-Otway,No charges laid,233
2019,March,Colac-Otway,Unsolved,480
2019,March,Corangamite,Charges laid,251
2019,March,Corangamite,No charges laid,62
2019,March,Corangamite,Unsolved,174
2019,March,Darebin,Charges laid,3999
2019,March,Darebin,No charges laid,1074
2019,March,Darebin,Unsolved,6172
2019,March,East Gippsland,Charges laid,1655
2019,March,East Gippsland,No charges laid,741
2019,March,East Gippsland,Unsolved,797
2019,March,Frankston,Charges laid,5477
2019,March,Frankston,No charges laid,1514
2019,March,Frankston,Unsolved,4165
2019,March,Gannawarra,Charges laid,315
2019,March,Gannawarra,No charges laid,107
2019,March,Gannawarra,Unsolved,159
2019,March,Glen Eira,Charges laid,1314
2019,March,Glen Eira,No charges laid,734
2019,March,Glen Eira,Unsolved,2844
2019,March,Glenelg,Charges laid,479
2019,March,Glenelg,No charges laid,205
2019,March,Glenelg,Unsolved,272
2019,March,Golden Plains,Charges laid,142
2019,March,Golden Plains,No charges laid,77
2019,March,Golden Plains,Unsolved,291
2019,March,Greater Bendigo,Charges laid,4138
2019,March,Greater Bendigo,No charges laid,1176
2019,March,Greater Bendigo,Unsolved,2778
2019,March,Greater Dandenong,Charges laid,5726
2019,March,Greater Dandenong,No charges laid,2185
2019,March,Greater Dandenong,Unsolved,6284
2019,March,Greater Geelong,Charges laid,6725
2019,March,Greater Geelong,No charges laid,1884
2019,March,Greater Geelong,Unsolved,7168
2019,March,Greater Shepparton,Charges laid,3067
2019,March,Greater Shepparton,No charges laid,922
2019,March,Greater Shepparton,Unsolved,2239
2019,March,Hepburn,Charges laid,183
2019,March,Hepburn,No charges laid,96
2019,March,Hepburn,Unsolved,340
2019,March,Hindmarsh,Charges laid,122
2019,March,Hindmarsh,No charges laid,58
2019,March,Hindmarsh,Unsolved,69
2019,March,Hobsons Bay,Charges laid,2114
2019,March,Hobsons Bay,No charges laid,689
2019,March,Hobsons Bay,Unsolved,2045
2019,March,Horsham,Charges laid,798
2019,March,Horsham,No charges laid,319
2019,March,Horsham,Unsolved,319
2019,March,Hume,Charges laid,6507
2019,March,Hume,No charges laid,2242
2019,March,Hume,Unsolved,6842
2019,March,Indigo,Charges laid,155
2019,March,Indigo,No charges laid,59
2019,March,Indigo,Unsolved,157
2019,March,Kingston,Charges laid,3230
2019,March,Kingston,No charges laid,1337
2019,March,Kingston,Unsolved,4041
2019,March,Knox,Charges laid,3379
2019,March,Knox,No charges laid,1159
2019,March,Knox,Unsolved,3552
2019,March,Latrobe,Charges laid,5503
2019,March,Latrobe,No charges laid,1532
2019,March,Latrobe,Unsolved,2907
2019,March,Loddon,Charges laid,164
2019,March,Loddon,No charges laid,53
2019,March,Loddon,Unsolved,169
2019,March,Macedon Ranges,Charges laid,756
2019,March,Macedon Ranges,No charges laid,229
2019,March,Macedon Ranges,Unsolved,797
2019,March,Manningham,Charges laid,1113
2019,March,Manningham,No charges laid,407
2019,March,Manningham,Unsolved,1890
2019,March,Mansfield,Charges laid,132
2019,March,Mansfield,No charges laid,58
2019,March,Mansfield,Unsolved,131
2019,March,Maribyrnong,Charges laid,2403
2019,March,Maribyrnong,No charges laid,705
2019,March,Maribyrnong,Unsolved,3561
2019,March,Maroondah,Charges laid,2886
2019,March,Maroondah,No charges laid,886
2019,March,Maroondah,Unsolved,2262
2019,March,Melbourne,Charges laid,10465
2019,March,Melbourne,No charges laid,5112
2019,March,Melbourne,Unsolved,11010
2019,March,Melton,Charges laid,3212
2019,March,Melton,No charges laid,983
2019,March,Melton,Unsolved,4135
2019,March,Mildura,Charges laid,2873
2019,March,Mildura,No charges laid,928
2019,March,Mildura,Unsolved,1692
2019,March,Mitchell,Charges laid,1499
2019,March,Mitchell,No charges laid,574
2019,March,Mitchell,Unsolved,961
2019,March,Moira,Charges laid,826
2019,March,Moira,No charges laid,217
2019,March,Moira,Unsolved,639
2019,March,Monash,Charges laid,2591
2019,March,Monash,No charges laid,1030
2019,March,Monash,Unsolved,4409
2019,March,Moonee Valley,Charges laid,2105
2019,March,Moonee Valley,No charges laid,961
2019,March,Moonee Valley,Unsolved,3419
2019,March,Moorabool,Charges laid,708
2019,March,Moorabool,No charges laid,171
2019,March,Moorabool,Unsolved,754
2019,March,Moreland,Charges laid,3563
2019,March,Moreland,No charges laid,1410
2019,March,Moreland,Unsolved,6434
2019,March,Mornington Peninsula,Charges laid,3417
2019,March,Mornington Peninsula,No charges laid,1383
2019,March,Mornington Peninsula,Unsolved,3361
2019,March,Mount Alexander,Charges laid,357
2019,March,Mount Alexander,No charges laid,130
2019,March,Mount Alexander,Unsolved,264
2019,March,Moyne,Charges laid,215
2019,March,Moyne,No charges laid,91
2019,March,Moyne,Unsolved,152
2019,March,Murrindindi,Charges laid,242
2019,March,Murrindindi,No charges laid,149
2019,March,Murrindindi,Unsolved,202
2019,March,Nillumbik,Charges laid,540
2019,March,Nillumbik,No charges laid,289
2019,March,Nillumbik,Unsolved,794
2019,March,Northern Grampians,Charges laid,359
2019,March,Northern Grampians,No charges laid,180
2019,March,Northern Grampians,Unsolved,223
2019,March,Port Phillip,Charges laid,3102
2019,March,Port Phillip,No charges laid,1337
2019,March,Port Phillip,Unsolved,5211
2019,March,Pyrenees,Charges laid,154
2019,March,Pyrenees,No charges laid,100
2019,March,Pyrenees,Unsolved,165
2019,March,Queenscliffe,Charges laid,32
2019,March,Queenscliffe,No charges laid,17
2019,March,Queenscliffe,Unsolved,69
2019,March,South Gippsland,Charges laid,513
2019,March,South Gippsland,No charges laid,158
2019,March,South Gippsland,Unsolved,324
2019,March,Southern Grampians,Charges laid,649
2019,March,Southern Grampians,No charges laid,241
2019,March,Southern Grampians,Unsolved,218
2019,March,Stonnington,Charges laid,2776
2019,March,Stonnington,No charges laid,1169
2019,March,Stonnington,Unsolved,4225
2019,March,Strathbogie,Charges laid,186
2019,March,Strathbogie,No charges laid,80
2019,March,Strathbogie,Unsolved,182
2019,March,Surf Coast,Charges laid,330
2019,March,Surf Coast,No charges laid,141
2019,March,Surf Coast,Unsolved,428
2019,March,Swan Hill,Charges laid,1091
2019,March,Swan Hill,No charges laid,316
2019,March,Swan Hill,Unsolved,461
2019,March,Towong,Charges laid,68
2019,March,Towong,No charges laid,21
2019,March,Towong,Unsolved,84
2019,March,Wangaratta,Charges laid,848
2019,March,Wangaratta,No charges laid,346
2019,March,Wangaratta,Unsolved,445
2019,March,Warrnambool,Charges laid,1767
2019,March,Warrnambool,No charges laid,536
2019,March,Warrnambool,Unsolved,704
2019,March,Wellington,Charges laid,1454
2019,March,Wellington,No charges laid,619
2019,March,Wellington,Unsolved,848
2019,March,West Wimmera,Charges laid,48
2019,March,West Wimmera,No charges laid,27
2019,March,West Wimmera,Unsolved,50
2019,March,Whitehorse,Charges laid,2274
2019,March,Whitehorse,No charges laid,657
2019,March,Whitehorse,Unsolved,3430
2019,March,Whittlesea,Charges laid,4580
2019,March,Whittlesea,No charges laid,1793
2019,March,Whittlesea,Unsolved,5539
2019,March,Wodonga,Charges laid,1261
2019,March,Wodonga,No charges laid,277
2019,March,Wodonga,Unsolved,882
2019,March,Wyndham,Charges laid,4802
2019,March,Wyndham,No charges laid,1489
2019,March,Wyndham,Unsolved,5172
2019,March,Yarra,Charges laid,3211
2019,March,Yarra,No charges laid,1168
2019,March,Yarra,Unsolved,6803
2019,March,Yarra Ranges,Charges laid,2515
2019,March,Yarra Ranges,No charges laid,889
2019,March,Yarra Ranges,Unsolved,2363
2019,March,Yarriambiack,Charges laid,158
2019,March,Yarriambiack,No charges laid,60
2019,March,Yarriambiack,Unsolved,102
2018,March,Alpine,Charges laid,175
2018,March,Alpine,No charges laid,65
2018,March,Alpine,Unsolved,79
2018,March,Ararat,Charges laid,495
2018,March,Ararat,No charges laid,177
2018,March,Ararat,Unsolved,213
2018,March,Ballarat,Charges laid,3519
2018,March,Ballarat,No charges laid,877
2018,March,Ballarat,Unsolved,4504
2018,March,Banyule,Charges laid,3175
2018,March,Banyule,No charges laid,679
2018,March,Banyule,Unsolved,3515
2018,March,Bass Coast,Charges laid,859
2018,March,Bass Coast,No charges laid,329
2018,March,Bass Coast,Unsolved,611
2018,March,Baw Baw,Charges laid,1404
2018,March,Baw Baw,No charges laid,486
2018,March,Baw Baw,Unsolved,1039
2018,March,Bayside,Charges laid,1048
2018,March,Bayside,No charges laid,569
2018,March,Bayside,Unsolved,2280
2018,March,Benalla,Charges laid,505
2018,March,Benalla,No charges laid,167
2018,March,Benalla,Unsolved,308
2018,March,Boroondara,Charges laid,1526
2018,March,Boroondara,No charges laid,538
2018,March,Boroondara,Unsolved,3568
2018,March,Brimbank,Charges laid,5869
2018,March,Brimbank,No charges laid,1244
2018,March,Brimbank,Unsolved,6436
2018,March,Buloke,Charges laid,78
2018,March,Buloke,No charges laid,22
2018,March,Buloke,Unsolved,68
2018,March,Campaspe,Charges laid,1247
2018,March,Campaspe,No charges laid,326
2018,March,Campaspe,Unsolved,938
2018,March,Cardinia,Charges laid,1586
2018,March,Cardinia,No charges laid,662
2018,March,Cardinia,Unsolved,2046
2018,March,Casey,Charges laid,5476
2018,March,Casey,No charges laid,2476
2018,March,Casey,Unsolved,6774
2018,March,Central Goldfields,Charges laid,498
2018,March,Central Goldfields,No charges laid,184
2018,March,Central Goldfields,Unsolved,225
2018,March,Colac-Otway,Charges laid,505
2018,March,Colac-Otway,No charges laid,187
2018,March,Colac-Otway,Unsolved,550
2018,March,Corangamite,Charges laid,282
2018,March,Corangamite,No charges laid,119
2018,March,Corangamite,Unsolved,219
2018,March,Darebin,Charges laid,3901
2018,March,Darebin,No charges laid,919
2018,March,Darebin,Unsolved,6605
2018,March,East Gippsland,Charges laid,1552
2018,March,East Gippsland,No charges laid,715
2018,March,East Gippsland,Unsolved,788
2018,March,Frankston,Charges laid,5314
2018,March,Frankston,No charges laid,1563
2018,March,Frankston,Unsolved,3842
2018,March,Gannawarra,Charges laid,207
2018,March,Gannawarra,No charges laid,72
2018,March,Gannawarra,Unsolved,138
2018,March,Glen Eira,Charges laid,1475
2018,March,Glen Eira,No charges laid,730
2018,March,Glen Eira,Unsolved,3027
2018,March,Glenelg,Charges laid,620
2018,March,Glenelg,No charges laid,167
2018,March,Glenelg,Unsolved,409
2018,March,Golden Plains,Charges laid,191
2018,March,Golden Plains,No charges laid,65
2018,March,Golden Plains,Unsolved,225
2018,March,Greater Bendigo,Charges laid,3767
2018,March,Greater Bendigo,No charges laid,978
2018,March,Greater Bendigo,Unsolved,2344
2018,March,Greater Dandenong,Charges laid,5670
2018,March,Greater Dandenong,No charges laid,2116
2018,March,Greater Dandenong,Unsolved,5842
2018,March,Greater Geelong,Charges laid,6730
2018,March,Greater Geelong,No charges laid,1761
2018,March,Greater Geelong,Unsolved,8373
2018,March,Greater Shepparton,Charges laid,2855
2018,March,Greater Shepparton,No charges laid,935
2018,March,Greater Shepparton,Unsolved,2189
2018,March,Hepburn,Charges laid,265
2018,March,Hepburn,No charges laid,61
2018,March,Hepburn,Unsolved,313
2018,March,Hindmarsh,Charges laid,122
2018,March,Hindmarsh,No charges laid,64
2018,March,Hindmarsh,Unsolved,67
2018,March,Hobsons Bay,Charges laid,1933
2018,March,Hobsons Bay,No charges laid,546
2018,March,Hobsons Bay,Unsolved,2351
2018,March,Horsham,Charges laid,977
2018,March,Horsham,No charges laid,294
2018,March,Horsham,Unsolved,366
2018,March,Hume,Charges laid,5579
2018,March,Hume,No charges laid,2026
2018,March,Hume,Unsolved,7661
2018,March,Indigo,Charges laid,127
2018,March,Indigo,No charges laid,60
2018,March,Indigo,Unsolved,152
2018,March,Kingston,Charges laid,2999
2018,March,Kingston,No charges laid,1187
2018,March,Kingston,Unsolved,3721
2018,March,Knox,Charges laid,3470
2018,March,Knox,No charges laid,1116
2018,March,Knox,Unsolved,3930
2018,March,Latrobe,Charges laid,5278
2018,March,Latrobe,No charges laid,1516
2018,March,Latrobe,Unsolved,2582
2018,March,Loddon,Charges laid,133
2018,March,Loddon,No charges laid,43
2018,March,Loddon,Unsolved,141
2018,March,Macedon Ranges,Charges laid,669
2018,March,Macedon Ranges,No charges laid,215
2018,March,Macedon Ranges,Unsolved,638
2018,March,Manningham,Charges laid,1194
2018,March,Manningham,No charges laid,432
2018,March,Manningham,Unsolved,2034
2018,March,Mansfield,Charges laid,177
2018,March,Mansfield,No charges laid,64
2018,March,Mansfield,Unsolved,212
2018,March,Maribyrnong,Charges laid,2153
2018,March,Maribyrnong,No charges laid,677
2018,March,Maribyrnong,Unsolved,3752
2018,March,Maroondah,Charges laid,2697
2018,March,Maroondah,No charges laid,872
2018,March,Maroondah,Unsolved,2311
2018,March,Melbourne,Charges laid,10445
2018,March,Melbourne,No charges laid,5020
2018,March,Melbourne,Unsolved,11384
2018,March,Melton,Charges laid,3165
2018,March,Melton,No charges laid,808
2018,March,Melton,Unsolved,3830
2018,March,Mildura,Charges laid,2441
2018,March,Mildura,No charges laid,906
2018,March,Mildura,Unsolved,1475
2018,March,Mitchell,Charges laid,1456
2018,March,Mitchell,No charges laid,576
2018,March,Mitchell,Unsolved,1009
2018,March,Moira,Charges laid,846
2018,March,Moira,No charges laid,212
2018,March,Moira,Unsolved,446
2018,March,Monash,Charges laid,2532
2018,March,Monash,No charges laid,827
2018,March,Monash,Unsolved,4940
2018,March,Moonee Valley,Charges laid,2282
2018,March,Moonee Valley,No charges laid,835
2018,March,Moonee Valley,Unsolved,3575
2018,March,Moorabool,Charges laid,771
2018,March,Moorabool,No charges laid,245
2018,March,Moorabool,Unsolved,807
2018,March,Moreland,Charges laid,3177
2018,March,Moreland,No charges laid,1375
2018,March,Moreland,Unsolved,6468
2018,March,Mornington Peninsula,Charges laid,3349
2018,March,Mornington Peninsula,No charges laid,1572
2018,March,Mornington Peninsula,Unsolved,3598
2018,March,Mount Alexander,Charges laid,373
2018,March,Mount Alexander,No charges laid,103
2018,March,Mount Alexander,Unsolved,257
2018,March,Moyne,Charges laid,188
2018,March,Moyne,No charges laid,94
2018,March,Moyne,Unsolved,182
2018,March,Murrindindi,Charges laid,199
2018,March,Murrindindi,No charges laid,123
2018,March,Murrindindi,Unsolved,210
2018,March,Nillumbik,Charges laid,597
2018,March,Nillumbik,No charges laid,240
2018,March,Nillumbik,Unsolved,958
2018,March,Northern Grampians,Charges laid,409
2018,March,Northern Grampians,No charges laid,203
2018,March,Northern Grampians,Unsolved,190
2018,March,Port Phillip,Charges laid,3120
2018,March,Port Phillip,No charges laid,1382
2018,March,Port Phillip,Unsolved,5278
2018,March,Pyrenees,Charges laid,108
2018,March,Pyrenees,No charges laid,46
2018,March,Pyrenees,Unsolved,153
2018,March,Queenscliffe,Charges laid,19
2018,March,Queenscliffe,No charges laid,12
2018,March,Queenscliffe,Unsolved,77
2018,March,South Gippsland,Charges laid,522
2018,March,South Gippsland,No charges laid,172
2018,March,South Gippsland,Unsolved,312
2018,March,Southern Grampians,Charges laid,573
2018,March,Southern Grampians,No charges laid,185
2018,March,Southern Grampians,Unsolved,246
2018,March,Stonnington,Charges laid,2663
2018,March,Stonnington,No charges laid,1169
2018,March,Stonnington,Unsolved,4169
2018,March,Strathbogie,Charges laid,186
2018,March,Strathbogie,No charges laid,76
2018,March,Strathbogie,Unsolved,176
2018,March,Surf Coast,Charges laid,254
2018,March,Surf Coast,No charges laid,172
2018,March,Surf Coast,Unsolved,526
2018,March,Swan Hill,Charges laid,1101
2018,March,Swan Hill,No charges laid,288
2018,March,Swan Hill,Unsolved,363
2018,March,Towong,Charges laid,74
2018,March,Towong,No charges laid,29
2018,March,Towong,Unsolved,68
2018,March,Wangaratta,Charges laid,890
2018,March,Wangaratta,No charges laid,393
2018,March,Wangaratta,Unsolved,516
2018,March,Warrnambool,Charges laid,1507
2018,March,Warrnambool,No charges laid,501
2018,March,Warrnambool,Unsolved,699
2018,March,Wellington,Charges laid,1225
2018,March,Wellington,No charges laid,526
2018,March,Wellington,Unsolved,906
2018,March,West Wimmera,Charges laid,48
2018,March,West Wimmera,No charges laid,20
2018,March,West Wimmera,Unsolved,46
2018,March,Whitehorse,Charges laid,2156
2018,March,Whitehorse,No charges laid,664
2018,March,Whitehorse,Unsolved,3677
2018,March,Whittlesea,Charges laid,4306
2018,March,Whittlesea,No charges laid,1539
2018,March,Whittlesea,Unsolved,5495
2018,March,Wodonga,Charges laid,1295
2018,March,Wodonga,No charges laid,303
2018,March,Wodonga,Unsolved,771
2018,March,Wyndham,Charges laid,4605
2018,March,Wyndham,No charges laid,1158
2018,March,Wyndham,Unsolved,5098
2018,March,Yarra,Charges laid,3480
2018,March,Yarra,No charges laid,1167
2018,March,Yarra,Unsolved,6001
2018,March,Yarra Ranges,Charges laid,2540
2018,March,Yarra Ranges,No charges laid,860
2018,March,Yarra Ranges,Unsolved,2116
2018,March,Yarriambiack,Charges laid,157
2018,March,Yarriambiack,No charges laid,50
2018,March,Yarriambiack,Unsolved,151
2017,March,Alpine,Charges laid,145
2017,March,Alpine,No charges laid,59
2017,March,Alpine,Unsolved,76
2017,March,Ararat,Charges laid,510
2017,March,Ararat,No charges laid,180
2017,March,Ararat,Unsolved,219
2017,March,Ballarat,Charges laid,3520
2017,March,Ballarat,No charges laid,924
2017,March,Ballarat,Unsolved,4772
2017,March,Banyule,Charges laid,2797
2017,March,Banyule,No charges laid,650
2017,March,Banyule,Unsolved,4000
2017,March,Bass Coast,Charges laid,871
2017,March,Bass Coast,No charges laid,380
2017,March,Bass Coast,Unsolved,735
2017,March,Baw Baw,Charges laid,1413
2017,March,Baw Baw,No charges laid,437
2017,March,Baw Baw,Unsolved,1044
2017,March,Bayside,Charges laid,1098
2017,March,Bayside,No charges laid,617
2017,March,Bayside,Unsolved,2412
2017,March,Benalla,Charges laid,517
2017,March,Benalla,No charges laid,177
2017,March,Benalla,Unsolved,306
2017,March,Boroondara,Charges laid,1765
2017,March,Boroondara,No charges laid,667
2017,March,Boroondara,Unsolved,4575
2017,March,Brimbank,Charges laid,5918
2017,March,Brimbank,No charges laid,1152
2017,March,Brimbank,Unsolved,7600
2017,March,Buloke,Charges laid,59
2017,March,Buloke,No charges laid,30
2017,March,Buloke,Unsolved,52
2017,March,Campaspe,Charges laid,1290
2017,March,Campaspe,No charges laid,313
2017,March,Campaspe,Unsolved,1138
2017,March,Cardinia,Charges laid,1869
2017,March,Cardinia,No charges laid,759
2017,March,Cardinia,Unsolved,2571
2017,March,Casey,Charges laid,6056
2017,March,Casey,No charges laid,2646
2017,March,Casey,Unsolved,9406
2017,March,Central Goldfields,Charges laid,526
2017,March,Central Goldfields,No charges laid,155
2017,March,Central Goldfields,Unsolved,268
2017,March,Colac-Otway,Charges laid,777
2017,March,Colac-Otway,No charges laid,273
2017,March,Colac-Otway,Unsolved,566
2017,March,Corangamite,Charges laid,379
2017,March,Corangamite,No charges laid,90
2017,March,Corangamite,Unsolved,332
2017,March,Darebin,Charges laid,4384
2017,March,Darebin,No charges laid,1115
2017,March,Darebin,Unsolved,7701
2017,March,East Gippsland,Charges laid,1442
2017,March,East Gippsland,No charges laid,672
2017,March,East Gippsland,Unsolved,837
2017,March,Frankston,Charges laid,6199
2017,March,Frankston,No charges laid,1554
2017,March,Frankston,Unsolved,4598
2017,March,Gannawarra,Charges laid,275
2017,March,Gannawarra,No charges laid,93
2017,March,Gannawarra,Unsolved,160
2017,March,Glen Eira,Charges laid,1651
2017,March,Glen Eira,No charges laid,833
2017,March,Glen Eira,Unsolved,3389
2017,March,Glenelg,Charges laid,639
2017,March,Glenelg,No charges laid,208
2017,March,Glenelg,Unsolved,533
2017,March,Golden Plains,Charges laid,197
2017,March,Golden Plains,No charges laid,75
2017,March,Golden Plains,Unsolved,318
2017,March,Greater Bendigo,Charges laid,4008
2017,March,Greater Bendigo,No charges laid,1013
2017,March,Greater Bendigo,Unsolved,3011
2017,March,Greater Dandenong,Charges laid,5940
2017,March,Greater Dandenong,No charges laid,2270
2017,March,Greater Dandenong,Unsolved,7248
2017,March,Greater Geelong,Charges laid,6817
2017,March,Greater Geelong,No charges laid,1802
2017,March,Greater Geelong,Unsolved,9465
2017,March,Greater Shepparton,Charges laid,3172
2017,March,Greater Shepparton,No charges laid,879
2017,March,Greater Shepparton,Unsolved,2256
2017,March,Hepburn,Charges laid,240
2017,March,Hepburn,No charges laid,63
2017,March,Hepburn,Unsolved,420
2017,March,Hindmarsh,Charges laid,131
2017,March,Hindmarsh,No charges laid,64
2017,March,Hindmarsh,Unsolved,93
2017,March,Hobsons Bay,Charges laid,2075
2017,March,Hobsons Bay,No charges laid,568
2017,March,Hobsons Bay,Unsolved,2584
2017,March,Horsham,Charges laid,964
2017,March,Horsham,No charges laid,327
2017,March,Horsham,Unsolved,465
2017,March,Hume,Charges laid,6150
2017,March,Hume,No charges laid,1907
2017,March,Hume,Unsolved,8976
2017,March,Indigo,Charges laid,154
2017,March,Indigo,No charges laid,59
2017,March,Indigo,Unsolved,137
2017,March,Kingston,Charges laid,3066
2017,March,Kingston,No charges laid,1295
2017,March,Kingston,Unsolved,4020
2017,March,Knox,Charges laid,3486
2017,March,Knox,No charges laid,1033
2017,March,Knox,Unsolved,4804
2017,March,Latrobe,Charges laid,5429
2017,March,Latrobe,No charges laid,1679
2017,March,Latrobe,Unsolved,3240
2017,March,Loddon,Charges laid,160
2017,March,Loddon,No charges laid,83
2017,March,Loddon,Unsolved,150
2017,March,Macedon Ranges,Charges laid,828
2017,March,Macedon Ranges,No charges laid,206
2017,March,Macedon Ranges,Unsolved,609
2017,March,Manningham,Charges laid,1279
2017,March,Manningham,No charges laid,405
2017,March,Manningham,Unsolved,2380
2017,March,Mansfield,Charges laid,216
2017,March,Mansfield,No charges laid,77
2017,March,Mansfield,Unsolved,177
2017,March,Maribyrnong,Charges laid,2637
2017,March,Maribyrnong,No charges laid,664
2017,March,Maribyrnong,Unsolved,3892
2017,March,Maroondah,Charges laid,3191
2017,March,Maroondah,No charges laid,852
2017,March,Maroondah,Unsolved,3027
2017,March,Melbourne,Charges laid,10864
2017,March,Melbourne,No charges laid,4808
2017,March,Melbourne,Unsolved,12442
2017,March,Melton,Charges laid,3307
2017,March,Melton,No charges laid,713
2017,March,Melton,Unsolved,4948
2017,March,Mildura,Charges laid,2460
2017,March,Mildura,No charges laid,959
2017,March,Mildura,Unsolved,1797
2017,March,Mitchell,Charges laid,1464
2017,March,Mitchell,No charges laid,563
2017,March,Mitchell,Unsolved,1113
2017,March,Moira,Charges laid,735
2017,March,Moira,No charges laid,231
2017,March,Moira,Unsolved,410
2017,March,Monash,Charges laid,2863
2017,March,Monash,No charges laid,900
2017,March,Monash,Unsolved,5265
2017,March,Moonee Valley,Charges laid,2417
2017,March,Moonee Valley,No charges laid,922
2017,March,Moonee Valley,Unsolved,4420
2017,March,Moorabool,Charges laid,861
2017,March,Moorabool,No charges laid,200
2017,March,Moorabool,Unsolved,920
2017,March,Moreland,Charges laid,3382
2017,March,Moreland,No charges laid,1130
2017,March,Moreland,Unsolved,7286
2017,March,Mornington Peninsula,Charges laid,3397
2017,March,Mornington Peninsula,No charges laid,1797
2017,March,Mornington Peninsula,Unsolved,3748
2017,March,Mount Alexander,Charges laid,411
2017,March,Mount Alexander,No charges laid,124
2017,March,Mount Alexander,Unsolved,373
2017,March,Moyne,Charges laid,187
2017,March,Moyne,No charges laid,87
2017,March,Moyne,Unsolved,214
2017,March,Murrindindi,Charges laid,213
2017,March,Murrindindi,No charges laid,97
2017,March,Murrindindi,Unsolved,214
2017,March,Nillumbik,Charges laid,677
2017,March,Nillumbik,No charges laid,258
2017,March,Nillumbik,Unsolved,1236
2017,March,Northern Grampians,Charges laid,480
2017,March,Northern Grampians,No charges laid,189
2017,March,Northern Grampians,Unsolved,264
2017,March,Port Phillip,Charges laid,3017
2017,March,Port Phillip,No charges laid,1185
2017,March,Port Phillip,Unsolved,6266
2017,March,Pyrenees,Charges laid,109
2017,March,Pyrenees,No charges laid,67
2017,March,Pyrenees,Unsolved,184
2017,March,Queenscliffe,Charges laid,43
2017,March,Queenscliffe,No charges laid,10
2017,March,Queenscliffe,Unsolved,82
2017,March,South Gippsland,Charges laid,561
2017,March,South Gippsland,No charges laid,170
2017,March,South Gippsland,Unsolved,414
2017,March,Southern Grampians,Charges laid,603
2017,March,Southern Grampians,No charges laid,153
2017,March,Southern Grampians,Unsolved,269
2017,March,Stonnington,Charges laid,2902
2017,March,Stonnington,No charges laid,1102
2017,March,Stonnington,Unsolved,5103
2017,March,Strathbogie,Charges laid,234
2017,March,Strathbogie,No charges laid,59
2017,March,Strathbogie,Unsolved,169
2017,March,Surf Coast,Charges laid,359
2017,March,Surf Coast,No charges laid,145
2017,March,Surf Coast,Unsolved,564
2017,March,Swan Hill,Charges laid,962
2017,March,Swan Hill,No charges laid,370
2017,March,Swan Hill,Unsolved,421
2017,March,Towong,Charges laid,79
2017,March,Towong,No charges laid,41
2017,March,Towong,Unsolved,54
2017,March,Wangaratta,Charges laid,995
2017,March,Wangaratta,No charges laid,389
2017,March,Wangaratta,Unsolved,493
2017,March,Warrnambool,Charges laid,1343
2017,March,Warrnambool,No charges laid,459
2017,March,Warrnambool,Unsolved,787
2017,March,Wellington,Charges laid,1540
2017,March,Wellington,No charges laid,583
2017,March,Wellington,Unsolved,1101
2017,March,West Wimmera,Charges laid,52
2017,March,West Wimmera,No charges laid,30
2017,March,West Wimmera,Unsolved,41
2017,March,Whitehorse,Charges laid,2082
2017,March,Whitehorse,No charges laid,667
2017,March,Whitehorse,Unsolved,3865
2017,March,Whittlesea,Charges laid,4203
