,Year,Local Government Area,Charge Status,Incidents Recorded
698,2020,Wodonga,Unsolved,1139
699,2020,Wyndham,Charges laid,5479
700,2020,Wyndham,No charges laid,1607
701,2020,Wyndham,Unsolved,6785
702,2020,Yarra,Charges laid,3437
703,2020,Yarra,No charges laid,1198
704,2020,Yarra,Unsolved,6793
705,2020,Yarra Ranges,Charges laid,2423
706,2020,Yarra Ranges,No charges laid,969
707,2020,Yarra Ranges,Unsolved,2795
708,2020,Yarriambiack,Charges laid,167
709,2020,Yarriambiack,No charges laid,48
710,2020,Yarriambiack,Unsolved,103
711,2019,Alpine,Charges laid,228
712,2019,Alpine,No charges laid,55
713,2019,Alpine,Unsolved,116
714,2019,Ararat,Charges laid,520
715,2019,Ararat,No charges laid,188
716,2019,Ararat,Unsolved,204
717,2019,Ballarat,Charges laid,3486
718,2019,Ballarat,No charges laid,745
719,2019,Ballarat,Unsolved,3898
720,2019,Banyule,Charges laid,3331
721,2019,Banyule,No charges laid,659
722,2019,Banyule,Unsolved,3016
723,2019,Bass Coast,Charges laid,792
724,2019,Bass Coast,No charges laid,318
725,2019,Bass Coast,Unsolved,672
726,2019,Baw Baw,Charges laid,1558
727,2019,Baw Baw,No charges laid,452
728,2019,Baw Baw,Unsolved,1169
729,2019,Bayside,Charges laid,952
730,2019,Bayside,No charges laid,544
731,2019,Bayside,Unsolved,2110
732,2019,Benalla,Charges laid,443
733,2019,Benalla,No charges laid,171
734,2019,Benalla,Unsolved,263
735,2019,Boroondara,Charges laid,1514
736,2019,Boroondara,No charges laid,532
737,2019,Boroondara,Unsolved,3524
738,2019,Brimbank,Charges laid,6488
739,2019,Brimbank,No charges laid,1444
740,2019,Brimbank,Unsolved,6729
741,2019,Buloke,Charges laid,62
742,2019,Buloke,No charges laid,55
743,2019,Buloke,Unsolved,97
744,2019,Campaspe,Charges laid,1265
745,2019,Campaspe,No charges laid,347
746,2019,Campaspe,Unsolved,1307
747,2019,Cardinia,Charges laid,1818
748,2019,Cardinia,No charges laid,789
749,2019,Cardinia,Unsolved,2090
750,2019,Casey,Charges laid,5871
751,2019,Casey,No charges laid,2874
752,2019,Casey,Unsolved,7472
753,2019,Central Goldfields,Charges laid,482
754,2019,Central Goldfields,No charges laid,196
755,2019,Central Goldfields,Unsolved,239
756,2019,Colac-Otway,Charges laid,607
757,2019,Colac-Otway,No charges laid,233
758,2019,Colac-Otway,Unsolved,480
759,2019,Corangamite,Charges laid,251
760,2019,Corangamite,No charges laid,62
761,2019,Corangamite,Unsolved,174
762,2019,Darebin,Charges laid,3999
763,2019,Darebin,No charges laid,1074
764,2019,Darebin,Unsolved,6172
765,2019,East Gippsland,Charges laid,1655
766,2019,East Gippsland,No charges laid,741
767,2019,East Gippsland,Unsolved,797
768,2019,Frankston,Charges laid,5477
769,2019,Frankston,No charges laid,1514
770,2019,Frankston,Unsolved,4165
771,2019,Gannawarra,Charges laid,315
772,2019,Gannawarra,No charges laid,107
773,2019,Gannawarra,Unsolved,159
774,2019,Glen Eira,Charges laid,1314
775,2019,Glen Eira,No charges laid,734
776,2019,Glen Eira,Unsolved,2844
777,2019,Glenelg,Charges laid,479
778,2019,Glenelg,No charges laid,205
779,2019,Glenelg,Unsolved,272
780,2019,Golden Plains,Charges laid,142
781,2019,Golden Plains,No charges laid,77
782,2019,Golden Plains,Unsolved,291
783,2019,Greater Bendigo,Charges laid,4138
784,2019,Greater Bendigo,No charges laid,1176
785,2019,Greater Bendigo,Unsolved,2778
786,2019,Greater Dandenong,Charges laid,5726
787,2019,Greater Dandenong,No charges laid,2185
788,2019,Greater Dandenong,Unsolved,6284
789,2019,Greater Geelong,Charges laid,6725
790,2019,Greater Geelong,No charges laid,1884
791,2019,Greater Geelong,Unsolved,7168
792,2019,Greater Shepparton,Charges laid,3067
793,2019,Greater Shepparton,No charges laid,922
794,2019,Greater Shepparton,Unsolved,2239
795,2019,Hepburn,Charges laid,183
796,2019,Hepburn,No charges laid,96
797,2019,Hepburn,Unsolved,340
798,2019,Hindmarsh,Charges laid,122
799,2019,Hindmarsh,No charges laid,58
800,2019,Hindmarsh,Unsolved,69
801,2019,Hobsons Bay,Charges laid,2114
802,2019,Hobsons Bay,No charges laid,689
803,2019,Hobsons Bay,Unsolved,2045
804,2019,Horsham,Charges laid,798
805,2019,Horsham,No charges laid,319
806,2019,Horsham,Unsolved,319
807,2019,Hume,Charges laid,6507
808,2019,Hume,No charges laid,2242
809,2019,Hume,Unsolved,6842
810,2019,Indigo,Charges laid,155
811,2019,Indigo,No charges laid,59
812,2019,Indigo,Unsolved,157
813,2019,Kingston,Charges laid,3230
814,2019,Kingston,No charges laid,1337
815,2019,Kingston,Unsolved,4041
816,2019,Knox,Charges laid,3379
817,2019,Knox,No charges laid,1159
818,2019,Knox,Unsolved,3552
819,2019,Latrobe,Charges laid,5503
820,2019,Latrobe,No charges laid,1532
821,2019,Latrobe,Unsolved,2907
822,2019,Loddon,Charges laid,164
823,2019,Loddon,No charges laid,53
824,2019,Loddon,Unsolved,169
825,2019,Macedon Ranges,Charges laid,756
826,2019,Macedon Ranges,No charges laid,229
827,2019,Macedon Ranges,Unsolved,797
828,2019,Manningham,Charges laid,1113
829,2019,Manningham,No charges laid,407
830,2019,Manningham,Unsolved,1890
831,2019,Mansfield,Charges laid,132
832,2019,Mansfield,No charges laid,58
833,2019,Mansfield,Unsolved,131
834,2019,Maribyrnong,Charges laid,2403
835,2019,Maribyrnong,No charges laid,705
836,2019,Maribyrnong,Unsolved,3561
837,2019,Maroondah,Charges laid,2886
838,2019,Maroondah,No charges laid,886
839,2019,Maroondah,Unsolved,2262
840,2019,Melbourne,Charges laid,10465
841,2019,Melbourne,No charges laid,5112
842,2019,Melbourne,Unsolved,11010
843,2019,Melton,Charges laid,3212
844,2019,Melton,No charges laid,983
845,2019,Melton,Unsolved,4135
846,2019,Mildura,Charges laid,2873
847,2019,Mildura,No charges laid,928
848,2019,Mildura,Unsolved,1692
849,2019,Mitchell,Charges laid,1499
850,2019,Mitchell,No charges laid,574
851,2019,Mitchell,Unsolved,961
852,2019,Moira,Charges laid,826
853,2019,Moira,No charges laid,217
854,2019,Moira,Unsolved,639
855,2019,Monash,Charges laid,2591
856,2019,Monash,No charges laid,1030
857,2019,Monash,Unsolved,4409
858,2019,Moonee Valley,Charges laid,2105
859,2019,Moonee Valley,No charges laid,961
860,2019,Moonee Valley,Unsolved,3419
861,2019,Moorabool,Charges laid,708
862,2019,Moorabool,No charges laid,171
863,2019,Moorabool,Unsolved,754
864,2019,Moreland,Charges laid,3563
865,2019,Moreland,No charges laid,1410
866,2019,Moreland,Unsolved,6434
867,2019,Mornington Peninsula,Charges laid,3417
868,2019,Mornington Peninsula,No charges laid,1383
869,2019,Mornington Peninsula,Unsolved,3361
870,2019,Mount Alexander,Charges laid,357
871,2019,Mount Alexander,No charges laid,130
872,2019,Mount Alexander,Unsolved,264
873,2019,Moyne,Charges laid,215
874,2019,Moyne,No charges laid,91
875,2019,Moyne,Unsolved,152
876,2019,Murrindindi,Charges laid,242
877,2019,Murrindindi,No charges laid,149
878,2019,Murrindindi,Unsolved,202
879,2019,Nillumbik,Charges laid,540
880,2019,Nillumbik,No charges laid,289
881,2019,Nillumbik,Unsolved,794
882,2019,Northern Grampians,Charges laid,359
883,2019,Northern Grampians,No charges laid,180
884,2019,Northern Grampians,Unsolved,223
885,2019,Port Phillip,Charges laid,3102
886,2019,Port Phillip,No charges laid,1337
887,2019,Port Phillip,Unsolved,5211
888,2019,Pyrenees,Charges laid,154
889,2019,Pyrenees,No charges laid,100
890,2019,Pyrenees,Unsolved,165
891,2019,Queenscliffe,Charges laid,32
892,2019,Queenscliffe,No charges laid,17
893,2019,Queenscliffe,Unsolved,69
894,2019,South Gippsland,Charges laid,513
895,2019,South Gippsland,No charges laid,158
896,2019,South Gippsland,Unsolved,324
897,2019,Southern Grampians,Charges laid,649
898,2019,Southern Grampians,No charges laid,241
899,2019,Southern Grampians,Unsolved,218
900,2019,Stonnington,Charges laid,2776
901,2019,Stonnington,No charges laid,1169
902,2019,Stonnington,Unsolved,4225
903,2019,Strathbogie,Charges laid,186
904,2019,Strathbogie,No charges laid,80
905,2019,Strathbogie,Unsolved,182
906,2019,Surf Coast,Charges laid,330
907,2019,Surf Coast,No charges laid,141
908,2019,Surf Coast,Unsolved,428
909,2019,Swan Hill,Charges laid,1091
910,2019,Swan Hill,No charges laid,316
911,2019,Swan Hill,Unsolved,461
912,2019,Towong,Charges laid,68
913,2019,Towong,No charges laid,21
914,2019,Towong,Unsolved,84
915,2019,Wangaratta,Charges laid,848
916,2019,Wangaratta,No charges laid,346
917,2019,Wangaratta,Unsolved,445
918,2019,Warrnambool,Charges laid,1767
919,2019,Warrnambool,No charges laid,536
920,2019,Warrnambool,Unsolved,704
921,2019,Wellington,Charges laid,1454
922,2019,Wellington,No charges laid,619
923,2019,Wellington,Unsolved,848
924,2019,West Wimmera,Charges laid,48
925,2019,West Wimmera,No charges laid,27
926,2019,West Wimmera,Unsolved,50
927,2019,Whitehorse,Charges laid,2274
928,2019,Whitehorse,No charges laid,657
929,2019,Whitehorse,Unsolved,3430
930,2019,Whittlesea,Charges laid,4580
931,2019,Whittlesea,No charges laid,1793
932,2019,Whittlesea,Unsolved,5539
933,2019,Wodonga,Charges laid,1261
934,2019,Wodonga,No charges laid,277
935,2019,Wodonga,Unsolved,882
936,2019,Wyndham,Charges laid,4802
937,2019,Wyndham,No charges laid,1489
938,2019,Wyndham,Unsolved,5172
939,2019,Yarra,Charges laid,3211
940,2019,Yarra,No charges laid,1168
941,2019,Yarra,Unsolved,6803
942,2019,Yarra Ranges,Charges laid,2515
943,2019,Yarra Ranges,No charges laid,889
944,2019,Yarra Ranges,Unsolved,2363
945,2019,Yarriambiack,Charges laid,158
946,2019,Yarriambiack,No charges laid,60
947,2019,Yarriambiack,Unsolved,102
