,Year,Local Government Area,Charge Status,Incidents Recorded
161,2022,Mount Alexander,Unsolved,294
162,2022,Moyne,Charges laid,222
163,2022,Moyne,No charges laid,94
164,2022,Moyne,Unsolved,230
165,2022,Murrindindi,Charges laid,167
166,2022,Murrindindi,No charges laid,154
167,2022,Murrindindi,Unsolved,210
168,2022,Nillumbik,Charges laid,421
169,2022,Nillumbik,No charges laid,320
170,2022,Nillumbik,Unsolved,578
171,2022,Northern Grampians,Charges laid,352
172,2022,Northern Grampians,No charges laid,236
173,2022,Northern Grampians,Unsolved,218
174,2022,Port Phillip,Charges laid,2471
175,2022,Port Phillip,No charges laid,1361
176,2022,Port Phillip,Unsolved,5325
177,2022,Pyrenees,Charges laid,100
178,2022,Pyrenees,No charges laid,49
179,2022,Pyrenees,Unsolved,153
180,2022,Queenscliffe,Charges laid,28
181,2022,Queenscliffe,No charges laid,17
182,2022,Queenscliffe,Unsolved,73
183,2022,South Gippsland,Charges laid,536
184,2022,South Gippsland,No charges laid,255
185,2022,South Gippsland,Unsolved,403
186,2022,Southern Grampians,Charges laid,436
187,2022,Southern Grampians,No charges laid,167
188,2022,Southern Grampians,Unsolved,196
189,2022,Stonnington,Charges laid,1937
190,2022,Stonnington,No charges laid,1231
191,2022,Stonnington,Unsolved,4652
192,2022,Strathbogie,Charges laid,173
193,2022,Strathbogie,No charges laid,97
194,2022,Strathbogie,Unsolved,176
195,2022,Surf Coast,Charges laid,334
196,2022,Surf Coast,No charges laid,219
197,2022,Surf Coast,Unsolved,496
198,2022,Swan Hill,Charges laid,828
199,2022,Swan Hill,No charges laid,494
200,2022,Swan Hill,Unsolved,374
201,2022,Towong,Charges laid,35
202,2022,Towong,No charges laid,30
203,2022,Towong,Unsolved,83
204,2022,Wangaratta,Charges laid,789
205,2022,Wangaratta,No charges laid,395
206,2022,Wangaratta,Unsolved,471
207,2022,Warrnambool,Charges laid,988
208,2022,Warrnambool,No charges laid,483
209,2022,Warrnambool,Unsolved,736
210,2022,Wellington,Charges laid,1159
211,2022,Wellington,No charges laid,756
212,2022,Wellington,Unsolved,1049
213,2022,West Wimmera,Charges laid,52
214,2022,West Wimmera,No charges laid,41
215,2022,West Wimmera,Unsolved,58
216,2022,Whitehorse,Charges laid,1579
217,2022,Whitehorse,No charges laid,832
